"statistical_year","region_abbr","inter_item_code","type_code","item_value","dm_update_time","dm_load_time"
"2003",K,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",K,US_CM_000001,ME_TY_000002,16.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",NTE,US_CM_000001,ME_TY_000001,596063.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",NTE,US_CM_000001,ME_TY_000001,893336.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",NTE,US_CM_000001,ME_TY_000002,19.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",NTE,US_CM_000001,ME_TY_000002,37.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",NTW,US_CM_000001,ME_TY_000001,799074.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",NTW,US_CM_000001,ME_TY_000001,1007375.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",NTW,US_CM_000001,ME_TY_000001,1010045.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",NTW,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",NTW,US_CM_000001,ME_TY_000002,33.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",HKSAR,US_CM_000001,ME_TY_000001,2783523.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",HKSAR,US_CM_000001,ME_TY_000002,7.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",HKSAR,US_CM_000001,ME_TY_000002,147.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",HKSAR,US_CM_000001,ME_TY_000002,97.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",HKSAR,US_CM_000001,ME_TY_000001,3818140.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",HKSAR,US_CM_000001,ME_TY_000002,3.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",HKSAR,US_CM_000001,ME_TY_000001,3673000.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",HKSAR,US_CM_000001,ME_TY_000001,2964658.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",HKSAR,US_CM_000001,ME_TY_000002,196.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",HKSAR,US_CM_000001,ME_TY_000002,2.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",HKSAR,US_CM_000001,ME_TY_000002,84.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",HKSAR,US_CM_000001,ME_TY_000001,2727880.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",HKSAR,US_CM_000001,ME_TY_000002,173.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",HKSAR,US_CM_000001,ME_TY_000002,110.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",HKSAR,US_CM_000001,ME_TY_000001,3803389.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",HKSAR,US_CM_000001,ME_TY_000001,3896607.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",HKSAR,US_CM_000001,ME_TY_000001,3917574.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",HKSAR,US_CM_000001,ME_TY_000001,3548120.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",HKI,US_CM_000001,ME_TY_000001,796273.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",HKI,US_CM_000001,ME_TY_000002,31.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",HKI,US_CM_000001,ME_TY_000002,49.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",K,US_CM_000001,ME_TY_000001,1140162.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",K,US_CM_000001,ME_TY_000002,29.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",K,US_CM_000001,ME_TY_000002,35.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",NTE,US_CM_000001,ME_TY_000001,651264.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",NTE,US_CM_000001,ME_TY_000001,851080.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",NTE,US_CM_000001,ME_TY_000001,932125.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",NTE,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",NTE,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",NTE,US_CM_000001,ME_TY_000002,15.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",NTW,US_CM_000001,ME_TY_000001,988369.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",NTW,US_CM_000001,ME_TY_000002,52.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",NTW,US_CM_000001,ME_TY_000002,75.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",HKI,US_CM_000001,ME_TY_000001,648334.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",HKI,US_CM_000001,ME_TY_000001,803227.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",HKI,US_CM_000001,ME_TY_000001,806640.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",HKI,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",HKI,US_CM_000001,ME_TY_000002,20.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",K,US_CM_000001,ME_TY_000001,1089298.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",K,US_CM_000001,ME_TY_000001,1127811.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",K,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",K,US_CM_000001,ME_TY_000002,23.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",NTE,US_CM_000001,ME_TY_000001,594027.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",NTE,US_CM_000001,ME_TY_000001,822461.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",NTE,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",NTE,US_TU_000001,TA_UP_000002,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTE,US_TU_000001,TA_UP_000003,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTE,US_TU_000001,TA_UP_000004,96.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKSAR,US_TU_000001,TA_UP_000001,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKSAR,US_TU_000001,TA_UP_000002,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKSAR,US_TU_000001,TA_UP_000003,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKSAR,US_TU_000001,TA_UP_000004,96.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKI,US_TU_000001,TA_UP_000004,96.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKI,US_TU_000001,TA_UP_000005,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",K,US_TU_000001,TA_UP_000001,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKSAR,US_TU_000001,TA_UP_000005,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTE,US_TU_000001,TA_UP_000001,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTW,US_TU_000001,TA_UP_000005,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKI,US_TU_000001,TA_UP_000001,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKI,US_TU_000001,TA_UP_000002,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",HKI,US_TU_000001,TA_UP_000003,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",K,US_TU_000001,TA_UP_000002,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",K,US_TU_000001,TA_UP_000003,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",K,US_TU_000001,TA_UP_000004,96.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",K,US_TU_000001,TA_UP_000005,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTE,US_TU_000001,TA_UP_000005,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTW,US_TU_000001,TA_UP_000001,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTW,US_TU_000001,TA_UP_000002,97.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTW,US_TU_000001,TA_UP_000003,98.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",NTW,US_TU_000001,TA_UP_000004,96.000000,2026-07-23 16:41:20.995,2026-07-23 16:41:20.995
"2026",K,US_CM_000001,ME_TY_000001,1127762.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",K,US_CM_000001,ME_TY_000002,19.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",NTW,US_CM_000001,ME_TY_000001,1009544.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",NTE,US_CM_000001,ME_TY_000002,9.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",HKI,US_CM_000001,ME_TY_000002,17.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",HKI,US_CM_000001,ME_TY_000001,757648.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",NTW,US_CM_000001,ME_TY_000002,31.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",NTE,US_CM_000001,ME_TY_000001,908185.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",HKI,US_CM_000001,ME_TY_000001,588319.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",HKI,US_CM_000001,ME_TY_000001,614533.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",HKI,US_CM_000001,ME_TY_000001,635000.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",HKI,US_CM_000001,ME_TY_000002,8.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",HKI,US_CM_000001,ME_TY_000002,9.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",HKI,US_CM_000001,ME_TY_000002,12.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",HKI,US_CM_000001,ME_TY_000002,47.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",K,US_CM_000001,ME_TY_000001,742857.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",K,US_CM_000001,ME_TY_000001,1011081.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",NTE,US_CM_000001,ME_TY_000001,694451.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",NTE,US_CM_000001,ME_TY_000001,692993.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",NTE,US_CM_000001,ME_TY_000001,726174.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",NTE,US_CM_000001,ME_TY_000001,940151.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",NTE,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",NTE,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",NTE,US_CM_000001,ME_TY_000002,2.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",NTW,US_CM_000001,ME_TY_000001,643317.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",NTW,US_CM_000001,ME_TY_000001,894032.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",HKI,US_CM_000001,ME_TY_000001,652044.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",HKI,US_CM_000001,ME_TY_000001,810130.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",HKI,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",HKI,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",HKI,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",K,US_CM_000001,ME_TY_000001,920865.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",K,US_CM_000001,ME_TY_000001,1177853.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",K,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",K,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",K,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",NTE,US_CM_000001,ME_TY_000001,659523.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",NTE,US_CM_000001,ME_TY_000001,780810.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",NTE,US_CM_000001,ME_TY_000002,6.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",NTE,US_CM_000001,ME_TY_000002,35.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",NTE,US_CM_000001,ME_TY_000002,36.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",NTW,US_CM_000001,ME_TY_000001,960513.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",NTW,US_CM_000001,ME_TY_000001,1009646.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",NTW,US_CM_000001,ME_TY_000002,2.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",NTW,US_CM_000001,ME_TY_000002,41.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",HKI,US_CM_000001,ME_TY_000001,586229.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",HKI,US_CM_000001,ME_TY_000001,607617.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",HKI,US_CM_000001,ME_TY_000001,745783.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",HKI,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",HKI,US_CM_000001,ME_TY_000002,22.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",HKI,US_CM_000001,ME_TY_000002,45.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",K,US_CM_000001,ME_TY_000001,827057.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",K,US_CM_000001,ME_TY_000001,828042.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",K,US_CM_000001,ME_TY_000001,1048043.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",K,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",K,US_CM_000001,ME_TY_000002,20.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",K,US_CM_000001,ME_TY_000002,30.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",NTE,US_CM_000001,ME_TY_000001,923296.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",NTE,US_CM_000001,ME_TY_000001,908237.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",NTE,US_CM_000001,ME_TY_000002,24.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2003",NTW,US_CM_000001,ME_TY_000001,720567.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",NTW,US_CM_000001,ME_TY_000001,751801.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2017",NTW,US_CM_000001,ME_TY_000001,931833.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",NTW,US_CM_000001,ME_TY_000002,6.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",NTW,US_CM_000001,ME_TY_000002,36.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",NTW,US_CM_000001,ME_TY_000002,62.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",NTE,US_CM_000001,ME_TY_000002,10.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",NTW,US_CM_000001,ME_TY_000001,830291.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",NTW,US_CM_000001,ME_TY_000001,1034733.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",NTW,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",NTW,US_CM_000001,ME_TY_000002,1.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",NTW,US_CM_000001,ME_TY_000002,2.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",HKI,US_CM_000001,ME_TY_000001,670423.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",HKI,US_CM_000001,ME_TY_000001,682950.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",HKI,US_CM_000001,ME_TY_000002,5.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",HKI,US_CM_000001,ME_TY_000002,17.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",K,US_CM_000001,ME_TY_000001,920104.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",K,US_CM_000001,ME_TY_000001,966057.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",K,US_CM_000001,ME_TY_000002,5.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",K,US_CM_000001,ME_TY_000002,9.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",NTE,US_CM_000001,ME_TY_000001,543911.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",NTE,US_CM_000001,ME_TY_000001,583443.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",NTE,US_CM_000001,ME_TY_000001,617997.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",NTE,US_CM_000001,ME_TY_000002,8.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",NTE,US_CM_000001,ME_TY_000002,36.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",NTW,US_CM_000001,ME_TY_000001,848393.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",NTW,US_CM_000001,ME_TY_000001,855399.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",NTW,US_CM_000001,ME_TY_000002,12.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",NTW,US_CM_000001,ME_TY_000002,23.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",HKI,US_CM_000001,ME_TY_000001,563383.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",HKI,US_CM_000001,ME_TY_000001,718143.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",K,US_CM_000001,ME_TY_000001,824148.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",K,US_CM_000001,ME_TY_000001,867908.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",K,US_CM_000001,ME_TY_000001,888800.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",K,US_CM_000001,ME_TY_000002,6.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",K,US_CM_000001,ME_TY_000002,7.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",K,US_CM_000001,ME_TY_000002,8.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",K,US_CM_000001,ME_TY_000002,32.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",NTE,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",NTE,US_CM_000001,ME_TY_000002,10.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",NTW,US_CM_000001,ME_TY_000001,730783.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2005",NTW,US_CM_000001,ME_TY_000001,771359.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2008",NTW,US_CM_000001,ME_TY_000001,797288.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2010",NTW,US_CM_000001,ME_TY_000002,13.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2011",NTW,US_CM_000001,ME_TY_000002,16.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2013",NTW,US_CM_000001,ME_TY_000002,18.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2023",NTW,US_CM_000001,ME_TY_000002,67.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",HKSAR,US_CM_000001,ME_TY_000001,3803139.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2014",HKSAR,US_CM_000001,ME_TY_000002,59.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2002",HKSAR,US_CM_000001,ME_TY_000001,2726693.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2026",HKSAR,US_CM_000001,ME_TY_000002,76.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2000",HKSAR,US_CM_000001,ME_TY_000002,2.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
