"statistical_year","region_abbr","inter_item_code","item_value","dm_update_time","dm_load_time"
"2001",HKSAR,US_TP_000006,1084.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000001,2870851.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKSAR,US_TP_000004,2050.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKSAR,US_TP_000003,1574.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000008,206.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000009,54.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000002,28263.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000003,41124.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000008,391.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000001,1976859.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000004,55875.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000008,892.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000006,11061.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000003,11493.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000005,17857.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000008,744.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000009,312.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000002,74950.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000006,3960.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000009,85.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000004,12091.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000001,87155.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000002,2978.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000003,529.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000004,2636.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000005,674.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000006,525.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000008,125.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKI,US_TP_000009,14.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000001,515564.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000002,10318.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000003,5747.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000004,9949.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000005,4680.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000006,3234.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000008,75.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTE,US_TP_000009,23.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000001,20381.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000001,170714.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000001,565865.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000001,874091.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000002,2245.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000002,9662.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000002,27974.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000002,44889.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000003,532.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000003,2100.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000003,6274.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000003,9994.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000004,86.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000004,433.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000004,1147.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000004,1679.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000005,182.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000005,1174.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000005,4191.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000005,8277.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000006,181.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000006,738.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000006,2235.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000006,4007.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000008,2.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000008,40.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000008,47.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000008,55.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",K,US_TP_000009,7.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",K,US_TP_000009,16.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",K,US_TP_000009,33.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",K,US_TP_000009,43.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000001,16280.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000001,178300.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000001,515686.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000001,727591.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000002,734.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000002,7069.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000002,16499.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000002,23355.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000003,531.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000003,5983.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000003,14091.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000003,19489.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000004,445.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000004,4479.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000004,14235.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000004,22196.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000005,144.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000005,1088.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000005,3596.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000005,6547.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000006,242.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000006,1085.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000006,2781.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000006,4487.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000008,31.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000008,102.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000008,200.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000008,263.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTW,US_TP_000009,11.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTW,US_TP_000009,25.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",NTW,US_TP_000009,49.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTW,US_TP_000009,72.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000003,4261.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000005,5271.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",HKSAR,US_TP_000001,699471.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",HKSAR,US_TP_000002,12472.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2015",HKSAR,US_TP_000009,216.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",HKSAR,US_TP_000005,32254.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKSAR,US_TP_000009,28.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",HKSAR,US_TP_000002,5052.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000001,67518.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000002,5374.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000003,1201.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000004,201.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000005,501.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000006,351.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000008,2.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",K,US_TP_000009,12.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000001,24621.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000001,190660.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000001,724390.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000002,714.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000002,3396.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000002,14706.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000003,277.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000003,1766.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000003,7176.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000004,341.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000004,3117.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000004,16358.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000005,224.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000005,1506.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000005,8259.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000006,410.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000006,1207.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000006,4992.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000008,7.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000008,33.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000008,105.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2001",NTE,US_TP_000009,5.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2009",NTE,US_TP_000009,13.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2020",NTE,US_TP_000009,31.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000001,67392.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000002,2296.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000003,1694.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000004,1434.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000005,479.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000006,611.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000008,56.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2007",NTW,US_TP_000009,20.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000001,29326.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000001,32409.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000001,42086.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000001,726688.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000001,777402.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000001,928286.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000002,2861.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000002,3202.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000002,4013.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000002,36691.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000002,41166.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000002,48316.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000003,655.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000003,728.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000003,962.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000003,8497.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000003,9361.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000003,10696.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000004,107.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000004,119.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000004,150.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000004,1369.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000004,1531.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000004,1901.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000005,229.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000005,267.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000005,366.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000005,5699.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000005,6744.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000005,9584.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000006,205.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000006,225.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000006,267.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000006,2908.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000006,3372.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000006,4797.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000008,2.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000008,2.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000008,2.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000008,52.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000008,53.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000008,60.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",K,US_TP_000009,8.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",K,US_TP_000009,8.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",K,US_TP_000009,11.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",K,US_TP_000009,41.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",K,US_TP_000009,42.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",K,US_TP_000009,48.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",NTW,US_TP_000001,20299.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",NTW,US_TP_000001,22254.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",NTW,US_TP_000001,40451.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",NTW,US_TP_000001,624213.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",NTW,US_TP_000001,655439.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",NTW,US_TP_000001,787981.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",NTW,US_TP_000002,1032.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",NTW,US_TP_000002,1209.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",NTW,US_TP_000002,1709.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",NTW,US_TP_000002,20428.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",NTW,US_TP_000002,21680.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",NTW,US_TP_000002,24868.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",NTW,US_TP_000003,746.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",NTW,US_TP_000003,903.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",NTW,US_TP_000003,1334.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",NTW,US_TP_000003,17527.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",NTW,US_TP_000003,18475.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2022",NTW,US_TP_000003,20734.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2003",NTW,US_TP_000004,626.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2004",NTW,US_TP_000004,777.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2006",NTW,US_TP_000004,1153.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2017",NTW,US_TP_000004,18798.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
"2018",NTW,US_TP_000004,20412.00000,2026-08-14 14:43:26.118,2026-08-14 14:43:26.118
