"statistical_year","region_abbr","inter_item_code","type_code","item_value","dm_update_time","dm_load_time"
"2023",HKI,US_AS_000001,US_AR_000003,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",HKSAR,US_AS_000001,US_AR_000001,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",HKSAR,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2023",HKSAR,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",HKSAR,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",HKSAR,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",K,US_AS_000001,US_AR_000001,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",K,US_AS_000001,US_AR_000002,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",K,US_AS_000001,US_AR_000003,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",NTE,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",NTE,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",NTE,US_AS_000001,US_AR_000003,98.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",NTW,US_AS_000001,US_AR_000001,96.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
"2026",NTW,US_AS_000001,US_AR_000002,97.000000,2026-07-23 16:41:20.000,2026-07-23 16:41:20.000
