"asset_id","region","sub_region","installation_no","offical_eng_name","offical_chi_name","address_eng","address_chi","kwh_ml","running_pumps","total_pumps","mh","dm_update_time","dm_load_time"
31,HKI,HKI(D1),PS127,Siu Sai Wan Salt Water Pumping Station,小西灣海水抽水站,"Siu Sai Wan Road, Chai Wan",柴灣小西灣道,271.77568,3.00000,3.00000,200910,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
78,NTE,NTE(D1),PS019,Tai Po Tau Raw Water Pumping Station,大埔頭原水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,269.13308,7.00000,26.00000,201903,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
143,NTW,NTW(D4),PS010,Kau Wa Keng Fresh Water Pumping Station,九華徑食水抽水站,"Cheung Hang Road, Kau Wa Keng, Lai Chi Kok",荔枝角九華徑長坑道,245.23187,4.00000,4.00000,201512,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
48,HKI,HKI(D3),PS125,Repulse Bay Fresh Water Pumping Station,淺水灣食水抽水站,"Belleview Drive, Repulse Bay",淺水灣麗景道,245.24997,2.00000,3.00000,200901,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
163,K,K(D2),PS113,Piper's Hill Ultra High Level Fresh Water and Salt Water Pumping Station,琵琶山超高地食水及海水抽水站,"Caldecott Road, Cheung Sha Wan",長沙灣赫德傑道,660.34286,2.00000,4.00000,200902,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
14,HKI,HKI(D3),PS036,Brick Hill Salt Water Pumping Station,南朗山海水抽水站,"Shum Wan Road, Aberdeen",香港仔深灣道,329.40781,3.00000,3.00000,201001,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
67,NTE,NTE(D2),PS130,Tai Po Salt Water Pumping Station,大埔海水抽水站,"17 Dai Kwai Street, Tai Po",大埔大貴街17號,342.36631,3.00000,3.00000,202004,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
67,NTE,NTE(D2),PS130,Tai Po Salt Water Pumping Station,大埔海水抽水站,"17 Dai Kwai Street, Tai Po",大埔大貴街17號,331.27479,3.00000,3.00000,201903,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
28,HKI,HKI(D1),PS114,Sai Wan Ho Salt Water Pumping Station,西灣河海水抽水站,"Lei King Road, Sai Wan Ho, Shau Kei Wan",筲箕灣西灣河利景道,312.74063,3.00000,3.00000,201010,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
12,HKI,HKI(D3),PS105,Ap Lei Chau Salt Water Pumping Station,鴨脷洲海水抽水站,"Lee Nam Road near Lee Lok Street, Ap Lei Chau",鴨脷洲利南道近利樂街,381.25191,3.00000,3.00000,201511,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
143,NTW,NTW(D4),PS010,Kau Wa Keng Fresh Water Pumping Station,九華徑食水抽水站,"Cheung Hang Road, Kau Wa Keng, Lai Chi Kok",荔枝角九華徑長坑道,310.56445,4.00000,4.00000,201707,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
125,,,,,,,,361.17439,2.00000,2.00000,201108,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
4,HKI,HKI(D4),PS134,Pui O No.2 Raw Water Pumping Station,貝澳二號原水抽水站,"2A Pui O Lo Wai Tsuen, Lantau Island",大嶼山貝澳老圍村2號A,338.02817,2.00000,6.00000,201504,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
28,HKI,HKI(D1),PS114,Sai Wan Ho Salt Water Pumping Station,西灣河海水抽水站,"Lei King Road, Sai Wan Ho, Shau Kei Wan",筲箕灣西灣河利景道,334.50122,3.00000,3.00000,200911,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
14,HKI,HKI(D3),PS036,Brick Hill Salt Water Pumping Station,南朗山海水抽水站,"Shum Wan Road, Aberdeen",香港仔深灣道,735.99236,2.00000,3.00000,201306,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
18,HKI,HKI(D1),PS007,Eastern Fresh Water Pumping Station,東區食水抽水站,"37 Stubbs Road, Wan Chai",灣仔司徒拔道37號,744.03352,4.00000,7.00000,202011,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
172,HKI,HKI(D3),PS165,Wah Fu Salt Water Pumping Station,華富海水抽水站,Wah Fu,華富,536.42757,3.00000,3.00000,202503,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
13,HKI,HKI(D1),PS006,Bowen Road Fresh Water Pumping Station,寶雲道食水抽水站,"2A Bowen Drive, Mid-levels",半山區寶雲徑2號A,325.04577,3.00000,3.00000,201207,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
14,HKI,HKI(D3),PS036,Brick Hill Salt Water Pumping Station,南朗山海水抽水站,"Shum Wan Road, Aberdeen",香港仔深灣道,364.80029,3.00000,3.00000,202205,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
14,HKI,HKI(D3),PS036,Brick Hill Salt Water Pumping Station,南朗山海水抽水站,"Shum Wan Road, Aberdeen",香港仔深灣道,289.14275,3.00000,3.00000,201405,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
31,HKI,HKI(D1),PS127,Siu Sai Wan Salt Water Pumping Station,小西灣海水抽水站,"Siu Sai Wan Road, Chai Wan",柴灣小西灣道,169.17244,3.00000,3.00000,202103,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
219,NTE,NTE(D1),PS159,Kau To Fresh Water Pumping Station,九肚食水抽水站,"Ma Liu Shui Section, Tai Po Road",大埔公路馬料水段,811.87388,2.00000,3.00000,202105,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
59,HKI,HKI(D2),PS153,Sheung Wan Salt Water Pumping Station,上環海水抽水站,"1 Chung Kong Road, Sheung Wan",上環中港道1號,460.70577,2.00000,3.00000,201302,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
163,K,K(D2),PS113,Piper's Hill Ultra High Level Fresh Water and Salt Water Pumping Station,琵琶山超高地食水及海水抽水站,"Caldecott Road, Cheung Sha Wan",長沙灣赫德傑道,683.34185,2.00000,4.00000,201302,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
32,HKI,HKI(D1),PS128,So Kon Po No.2 Fresh Water Pumping Station,掃桿埔二號食水抽水站,"Behind Hong Kong Stadium, So Kon Po",掃桿埔香港大球場後面,77.16148,3.00000,6.00000,202104,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
18,HKI,HKI(D1),PS007,Eastern Fresh Water Pumping Station,東區食水抽水站,"37 Stubbs Road, Wan Chai",灣仔司徒拔道37號,772.62479,5.00000,7.00000,202202,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
32,HKI,HKI(D1),PS128,So Kon Po No.2 Fresh Water Pumping Station,掃桿埔二號食水抽水站,"Behind Hong Kong Stadium, So Kon Po",掃桿埔香港大球場後面,67.34199,3.00000,6.00000,202206,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
78,NTE,NTE(D1),PS019,Tai Po Tau Raw Water Pumping Station,大埔頭原水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,241.53994,14.00000,26.00000,202107,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
78,NTE,NTE(D1),PS019,Tai Po Tau Raw Water Pumping Station,大埔頭原水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,335.11322,8.00000,26.00000,202508,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
13,HKI,HKI(D1),PS006,Bowen Road Fresh Water Pumping Station,寶雲道食水抽水站,"2A Bowen Drive, Mid-levels",半山區寶雲徑2號A,317.59749,2.00000,3.00000,201705,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
53,HKI,HKI(D1),PS052,Tong Shui Road Fresh Water Pumping Station,糖水道食水抽水站,"Tong Shui Road, North Point",北角糖水道,108.78564,4.00000,4.00000,202508,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
172,HKI,HKI(D3),PS165,Wah Fu Salt Water Pumping Station,華富海水抽水站,Wah Fu,華富,685.13251,2.00000,3.00000,201804,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
48,HKI,HKI(D3),PS125,Repulse Bay Fresh Water Pumping Station,淺水灣食水抽水站,"Belleview Drive, Repulse Bay",淺水灣麗景道,158.01285,2.00000,3.00000,201104,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
156,,,,,,,,644.96810,2.00000,3.00000,202102,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
140,K,K(D2),PS035,Beacon Hill Salt Water Pumping Station,筆架山海水抽水站,"Tai Wo Ping Road, Sham Shui Po",深水埗大窩坪道,591.59007,4.00000,4.00000,201208,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
140,K,K(D2),PS035,Beacon Hill Salt Water Pumping Station,筆架山海水抽水站,"Tai Wo Ping Road, Sham Shui Po",深水埗大窩坪道,618.58992,2.00000,4.00000,201711,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
53,HKI,HKI(D1),PS052,Tong Shui Road Fresh Water Pumping Station,糖水道食水抽水站,"Tong Shui Road, North Point",北角糖水道,103.86720,4.00000,5.00000,202304,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
23,HKI,HKI(D2),PS028,Magazine Gap Road Fresh Water Pumping Station,馬己仙峽道食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,735.11236,3.00000,3.00000,201608,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
87,NTW,NTW(D1),PS041,Tsuen Wan West Fresh Water and Salt Water Pumping Station,荃灣西食水及海水抽水站,"Route Twisk North 99, Route Twisk Villa, Tsuen Wan",荃灣荃錦公路北99號,148.33203,3.00000,4.00000,201801,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
158,NTW,NTW(D4),PS047,Kwai Shing Salt Water Pumping Station,葵盛海水抽水站,"Kwai Shing Circuit, Kwai Chung",葵涌葵盛圍,253.74606,2.00000,2.00000,201707,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
158,NTW,NTW(D4),PS047,Kwai Shing Salt Water Pumping Station,葵盛海水抽水站,"Kwai Shing Circuit, Kwai Chung",葵涌葵盛圍,218.77042,1.00000,2.00000,202012,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
150,NTW,NTW(D4),PS103,Tsing Yi North High Level Fresh Water and Salt Water Pumping Station,青衣北高地食水及海水抽水站,"Liu To Road, Tsing Yi",青衣寮肚路,242.09487,4.00000,4.00000,202602,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
38,HKI,HKI(D3),PS001,Aberdeen Raw Water Pumping Station,香港仔原水抽水站,"Aberdeen Reservoir Road, Aberdeen",香港仔香港仔水塘道,57.05511,1.00000,1.00000,202008,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
70,NTE,NTE(D1),PS108,Shek Mun Fresh Water Booster Pumping Station,石門食水增壓抽水站,"On Ping Street, Sha Tin",沙田安平街,35.28757,4.00000,6.00000,202201,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
87,NTW,NTW(D1),PS041,Tsuen Wan West Fresh Water and Salt Water Pumping Station,荃灣西食水及海水抽水站,"Route Twisk North 99, Route Twisk Villa, Tsuen Wan",荃灣荃錦公路北99號,141.47089,4.00000,4.00000,202510,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
29,HKI,HKI(D2),PS102,Sai Ying Pun Fresh Water Pumping Station,西營盤食水抽水站,"Junction of Water Street & Connaught Road West, Sai Ying Pun",西營盤水街及干諾道西交界,224.51710,4.00000,4.00000,201106,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
23,HKI,HKI(D2),PS028,Magazine Gap Road Fresh Water Pumping Station,馬己仙峽道食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,802.89673,3.00000,3.00000,200906,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
70,NTE,NTE(D1),PS108,Shek Mun Fresh Water Booster Pumping Station,石門食水增壓抽水站,"On Ping Street, Sha Tin",沙田安平街,82.84935,4.00000,5.00000,200902,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
150,NTW,NTW(D4),PS103,Tsing Yi North High Level Fresh Water and Salt Water Pumping Station,青衣北高地食水及海水抽水站,"Liu To Road, Tsing Yi",青衣寮肚路,278.74206,4.00000,4.00000,201308,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
87,NTW,NTW(D1),PS041,Tsuen Wan West Fresh Water and Salt Water Pumping Station,荃灣西食水及海水抽水站,"Route Twisk North 99, Route Twisk Villa, Tsuen Wan",荃灣荃錦公路北99號,156.01951,4.00000,4.00000,202504,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
110,K,K(D3),PS066,Shun Lee Tsuen Fresh Water Pumping Station,順利邨食水抽水站,"Shun Lee Tsuen Clear Water Bay Road, Choi Wan",彩雲清水灣道順利邨,561.32015,3.00000,6.00000,202006,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
110,K,K(D3),PS066,Shun Lee Tsuen Fresh Water Pumping Station,順利邨食水抽水站,"Shun Lee Tsuen Clear Water Bay Road, Choi Wan",彩雲清水灣道順利邨,525.76635,5.00000,6.00000,201405,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
23,HKI,HKI(D2),PS028,Magazine Gap Road Fresh Water Pumping Station,馬己仙峽道食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,842.95148,3.00000,3.00000,202102,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
87,NTW,NTW(D1),PS041,Tsuen Wan West Fresh Water and Salt Water Pumping Station,荃灣西食水及海水抽水站,"Route Twisk North 99, Route Twisk Villa, Tsuen Wan",荃灣荃錦公路北99號,134.53354,2.00000,4.00000,201404,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
128,NTE,"",TW024,Ma On Shan Water Treatment Works,馬鞍山濾水廠,"Kwun Hang Village, Sai Sha Road, Ma On Shan",馬鞍山西沙路官坑村,414.87831,5.00000,5.00000,201606,2026-08-15 10:40:47.667,2026-07-31 09:42:19.165
71,NTE,NTE(D2),PS111,Tai Po East Fresh Water Pumping Station,大埔東食水抽水站,"Ting Kok Road, Tai Po",大埔汀角路,326.53689,2.00000,2.00000,201701,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
70,NTE,NTE(D1),PS108,Shek Mun Fresh Water Booster Pumping Station,石門食水增壓抽水站,"On Ping Street, Sha Tin",沙田安平街,31.92661,4.00000,5.00000,201005,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
170,HKI,HKI(D3),PS156,Telegraph Bay Salt Water Pumping Station,鋼綫灣海水抽水站,Pok Fu Lam,薄扶林,431.38362,3.00000,3.00000,202003,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
79,,,,,,,,36.93877,4.00000,4.00000,201312,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
71,NTE,NTE(D2),PS111,Tai Po East Fresh Water Pumping Station,大埔東食水抽水站,"Ting Kok Road, Tai Po",大埔汀角路,291.19964,2.00000,2.00000,201204,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
23,HKI,HKI(D2),PS028,Magazine Gap Road Fresh Water Pumping Station,馬己仙峽道食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,693.87367,2.00000,3.00000,201405,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
89,NTW,"",TW018,Yau Kom Tau Water Treatment Works,油柑頭濾水廠,"9.75 Milestone Castle Peak Road, Yau Kom Tau, Tsuen Wan",荃灣油柑頭青山公路九點七五咪,142.48241,5.00000,5.00000,201302,2026-08-15 10:40:47.667,2026-07-31 09:42:19.165
117,K,K(D3),PS092,Ma Chai Hang Fresh Water Booster Pumping Station,馬仔坑食水增壓抽水站,"Lion Rock Park Ma Chai Hang, Chuk Yuen",竹園馬仔坑獅子山公園,90.56284,1.00000,2.00000,201811,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
64,NTE,NTE(D1),PS095,Ha Wong Yi Au Fresh Water Pumping Station,下黃宜凹食水抽水站,"Ha Wong Yi Au Village, Tai Po Road, Tai Po",大埔大埔道下黃宜凹村,261.59227,3.00000,3.00000,201002,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
24,HKI,HKI(D2),PS025,Albany No.2 Fresh Water Pumping Station,雅賓利二號食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,403.62148,4.00000,4.00000,202408,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
9,HKI,HKI(D4),PS112,Peng Chau Fresh Water Pumping Station,坪洲食水抽水站,"42 Tai Wo, Peng Chau",坪洲大窩42號,77.89977,1.00000,2.00000,201009,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
66,NTE,NTE(D1),PS120,Sha Tin Seafront Salt Water Pumping Station,沙田海傍海水抽水站,"Kiu Ha Road, Ma Liu Shui",馬料水橋下路,348.93033,3.00000,7.00000,201903,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
85,NTW,NTW(D5),PS145,Sheung Tsuen Fresh Water Pumping Station,上村食水抽水站,"Kam Sheung Road, Kam Tin",錦田錦上路,9993.61111,2.00000,2.00000,201012,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
108,K,K(D4),PS044,Sau Mau Ping Salt Water Pumping Station,秀茂坪海水抽水站,Tseng Kwan O Road Near Sau Mau Ping Estate Sau Mau Ping,秀茂坪將軍澳道近秀茂坪邨,410.45835,3.00000,3.00000,201907,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
111,NTE,NTE(D3),PS123,Tseung Kwan O High Level No.2 Fresh Water Pumping Station,將軍澳高地二號食水抽水站,"Tsui Lam Road, Tseung Kwan O",將軍澳翠琳路,266.58201,1.00000,2.00000,201305,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
51,HKI,HKI(D1),PS115,Shau Kei Wan Fresh Water and Salt Water Pumping Station,筲箕灣食水及海水抽水站,"Yiu Hing Road, Shau Kei Wan",筲箕灣耀興道,245.74686,5.00000,6.00000,201602,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
93,NTW,NTW(D1),PS089,Tsuen Wan West Ultra High Level Fresh Water Pumping Station,荃灣西超高地食水抽水站,"Route Twisk North 99, Route Twisk Villa, Tsuen Wan",荃灣荃錦公路北99號,384.04849,2.00000,2.00000,202208,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
153,K,K(D1),PS118,Kowloon South No.2 Salt Water Pumping Station,九龍南二號海水抽水站,"New Reclamation Area, Yau Ma Tei",油麻地填海區,334.87720,4.00000,5.00000,200911,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
66,NTE,NTE(D1),PS120,Sha Tin Seafront Salt Water Pumping Station,沙田海傍海水抽水站,"Kiu Ha Road, Ma Liu Shui",馬料水橋下路,399.66375,6.00000,7.00000,201705,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
147,K,K(D1),PS037,Ma Tau Wai Fresh Water Pumping Station,馬頭圍食水抽水站,"Sheung Woo Street, Ho Man Tin",何文田常和街,114.24601,2.00000,3.00000,201110,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
111,NTE,NTE(D3),PS123,Tseung Kwan O High Level No.2 Fresh Water Pumping Station,將軍澳高地二號食水抽水站,"Tsui Lam Road, Tseung Kwan O",將軍澳翠琳路,276.58852,1.00000,2.00000,202204,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
10,HKI,"",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,"640 Cheung Tung Road, Tung Chung, Lantau Island",大嶼山東涌翔東路640號,354.10868,3.00000,8.00000,201501,2026-08-15 10:40:47.667,2026-07-31 09:42:19.165
108,K,K(D4),PS044,Sau Mau Ping Salt Water Pumping Station,秀茂坪海水抽水站,Tseng Kwan O Road Near Sau Mau Ping Estate Sau Mau Ping,秀茂坪將軍澳道近秀茂坪邨,396.07298,3.00000,3.00000,202210,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
10,HKI,"",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,"640 Cheung Tung Road, Tung Chung, Lantau Island",大嶼山東涌翔東路640號,283.14697,7.00000,10.00000,202605,2026-08-15 10:40:47.667,2026-07-31 09:42:19.165
164,K,K(D2),PS124,Cheung Sha Wan Salt Water Pumping Station,長沙灣海水抽水站,"Hoi Fan Road, Cheung Sha Wan",長沙灣海帆道,302.24766,4.00000,6.00000,202105,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
108,K,K(D4),PS044,Sau Mau Ping Salt Water Pumping Station,秀茂坪海水抽水站,Tseng Kwan O Road Near Sau Mau Ping Estate Sau Mau Ping,秀茂坪將軍澳道近秀茂坪邨,384.82104,2.00000,3.00000,201410,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
145,NTW,NTW(D4),PS053,Lai Chi Kok Fresh Water Pumping Station,荔枝角食水抽水站,"Wah Tai Road, Lai Chi Kok",荔枝角華泰路,300.68971,2.00000,2.00000,201506,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
147,K,K(D1),PS037,Ma Tau Wai Fresh Water Pumping Station,馬頭圍食水抽水站,"Sheung Woo Street, Ho Man Tin",何文田常和街,124.12434,3.00000,3.00000,202205,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
34,HKI,HKI(D3),PS003,Tai Tam Tuk Raw Water Pumping Station,大潭篤原水抽水站,"Tai Tam Reservoir Road, Tai Tam",大潭大潭水塘道,385.79883,1.00000,5.00000,201304,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
129,NTE,"",TW020,Pak Kong Water Treatment Works,北港濾水廠,"20 Pak Kong Road, Sai Kung",西貢北港路20號,368.21950,11.00000,11.00000,201602,2026-08-15 10:40:47.667,2026-07-31 09:42:19.165
34,HKI,HKI(D3),PS003,Tai Tam Tuk Raw Water Pumping Station,大潭篤原水抽水站,"Tai Tam Reservoir Road, Tai Tam",大潭大潭水塘道,373.49043,1.00000,5.00000,201904,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
108,K,K(D4),PS044,Sau Mau Ping Salt Water Pumping Station,秀茂坪海水抽水站,Tseng Kwan O Road Near Sau Mau Ping Estate Sau Mau Ping,秀茂坪將軍澳道近秀茂坪邨,370.34757,3.00000,3.00000,201311,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
24,HKI,HKI(D2),PS025,Albany No.2 Fresh Water Pumping Station,雅賓利二號食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,410.26245,3.00000,4.00000,200904,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
239,NTW,NTW(D2),PS162,Lok On Pai Salt Water Pumping Station,樂安排海水抽水站,"Tsing Fat Street, Lok On Pai, Tuen Mun",屯門樂安排青發街,309.07552,3.00000,4.00000,201906,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
236,HKI,HKI(D1),PS157,Bowen Drive Salt Water Pumping Station,寶雲徑海水抽水站,NA,NA,522.43313,2.00000,2.00000,202605,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
164,K,K(D2),PS124,Cheung Sha Wan Salt Water Pumping Station,長沙灣海水抽水站,"Hoi Fan Road, Cheung Sha Wan",長沙灣海帆道,309.04529,6.00000,6.00000,201905,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
150,NTW,NTW(D4),PS103,Tsing Yi North High Level Fresh Water and Salt Water Pumping Station,青衣北高地食水及海水抽水站,"Liu To Road, Tsing Yi",青衣寮肚路,256.30733,4.00000,4.00000,201506,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
117,K,K(D3),PS092,Ma Chai Hang Fresh Water Booster Pumping Station,馬仔坑食水增壓抽水站,"Lion Rock Park Ma Chai Hang, Chuk Yuen",竹園馬仔坑獅子山公園,86.06899,1.00000,2.00000,200804,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
110,K,K(D3),PS066,Shun Lee Tsuen Fresh Water Pumping Station,順利邨食水抽水站,"Shun Lee Tsuen Clear Water Bay Road, Choi Wan",彩雲清水灣道順利邨,424.14077,4.00000,6.00000,200903,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
73,NTE,NTE(D2),PS077,Fanling Raw Water Pumping Station,粉嶺原水抽水站,"Fan Kam Road, Fanling",粉嶺粉錦公路,288.84524,6.00000,6.00000,202509,2026-08-21 11:45:24.567,2026-07-31 09:42:19.165
