"installation_id","region_abbr","wtw_name_en","wtw_name_cn","wtw_name_tc","tag_name_en","tag_name_cn","tag_name_tc","units","water_type_code","category","tag_type","dim_update_time","dim_load_time"
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_Final_Water_Turbidity_Turbidity,食水水质浊度,食水水質濁度,NTU,WT_TW_000004,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW018,NTW,Yau Kom Tau Water Treatment Works,油柑头滤水厂,油柑頭濾水廠,YKT_InletFlow_Forward_Flow_Total,原水进水流量,原水進水流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,RWPHAV,原水水质PH,原水水質PH,,WT_RW_000001,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM2_Flow_Today,南塘当天流量,南塘當天流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM2_Flow_Today_Re,南塘当天逆向流量,南塘當天逆向流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,RWTAV,原水水质浊度,原水水質濁度,NTU,WT_RW_000001,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_RW_INLET_Hart_total_re,原水总逆向流量,原水總逆向流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_RW_INLET_Hart_Today,原水当天流量,原水當天流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM1_Flow_Today_Re,南塘当天逆向流量,南塘當天逆向流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_RW_INLET_Hart_yesterday,原水昨天流量,原水昨天流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM2_Flow_Total,南塘总流量,南塘總流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_SR_LVL_NORTH,北塘水位,北塘水位,m,WT_TW_000004,LEVEL,LEVEL,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM1_Flow_Today,南塘当天流量,南塘當天流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,FWFRAV,食水水质氟,食水水質氟,mg/L,WT_TW_000004,WATER QUALITY,FLUORIDE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM1_Flow_Yesterday,南塘昨天流量,南塘昨天流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_RW_INLET_Hart_total,原水总流量,原水總流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,FWTAV,食水水质浊度,食水水質濁度,NTU,WT_TW_000004,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,FWCRAV,食水水质余氯,食水水質餘氯,mg/L,WT_TW_000004,WATER QUALITY,CHLORINE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM1_Flow_Total,南塘总流量,南塘總流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM2_Flowrate,南塘瞬时流量,南塘瞬時流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_SR_LVL_SOUTH,南塘水位,南塘水位,m,WT_TW_000004,LEVEL,LEVEL,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_RW_INLET_Hart_Today_re,原水当天逆向流量,原水當天逆向流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,LFP_RW_INLET_Hart_yesterday_re,原水昨天逆向流量,原水昨天逆向流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM2_Flow_Yesterday,南塘昨天流量,南塘昨天流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM2_Flow_Total_Re,南塘总逆向流量,南塘總逆向流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM2_Flow_Yesterday_Re,南塘昨天逆向流量,南塘昨天逆向流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM1_Flow_Total_Re,南塘总逆向流量,南塘總逆向流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM1_Flow_Yesterday_Re,南塘昨天逆向流量,南塘昨天逆向流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,V_FM1_Flowrate,南塘瞬时流量,南塘瞬時流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW009,HKI,Silver Mine Bay WTW,银矿湾滤水厂,銀鑛灣濾水廠,FWPHAV,食水水质PH,食水水質PH,,WT_TW_000004,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO571PI,清水池液位,清水池液位,m,WT_TW_000004,LEVEL,LEVEL,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15402AI,原水水质PH,原水水質PH,,WT_RW_000001,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55005YL1,"5号泵启停状态","5號泵啟停狀態",,WT_TW_000004,PMP_S/S_STS,PMP_S/S_STS,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15503AI,原水水质浊度(综合),原水水質濁度(綜合),NTU,WT_RW_000001,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55004YL1,"4号泵启停状态","4號泵啟停狀態",,WT_TW_000004,PMP_S/S_STS,PMP_S/S_STS,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO502AI_FinalTurb,食水水质浊度,食水水質濁度,NTU,WT_TW_000004,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO501AI,食水水质氟,食水水質氟,mg/L,WT_TW_000004,WATER QUALITY,FLUORIDE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55003YL1,"3号泵启停状态","3號泵啟停狀態",,WT_TW_000004,PMP_S/S_STS,PMP_S/S_STS,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15002FI1_SP_inFlow,原水瞬时流量(石壁),原水瞬時流量(石壁),MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15501AI,原水水质浊度(大榄涌),原水水質濁度(大欖涌),NTU,WT_RW_000001,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO572PI,压力,壓力,m,WT_TW_000004,PRESSURE,PRESSURE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55006YL1,"6号泵启停状态","6號泵啟停狀態",,WT_TW_000004,PMP_S/S_STS,PMP_S/S_STS,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO570FI,瞬时流量,瞬時流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15502AI,原水水质浊度(石壁),原水水質濁度(石壁),NTU,WT_RW_000001,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F570_Flow_counter2,累计流量2,累計流量2,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F570_Flow,瞬时流量,瞬時流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F150_1_Flow_counter2,原水累计流量2(大榄涌),原水累計流量2(大欖涌),ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15001FI_TLC_inFlow,原水瞬时流量(大榄涌),原水瞬時流量(大欖涌),MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO503AI_Final_pH,食水水质PH,食水水質PH,,WT_TW_000004,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO504AI,食水水质余氯,食水水質餘氯,mg/L,WT_TW_000004,WATER QUALITY,CHLORINE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15403AI,食水水质PH(综合),食水水質PH(綜合),,WT_RW_000001,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55001YL1,"1号泵启停状态","1號泵啟停狀態",,WT_TW_000004,PMP_S/S_STS,PMP_S/S_STS,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15401AI,原水水质PH(大榄涌),原水水質PH(大欖涌),,WT_RW_000001,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F150_1_Flow_counter1,原水累计流量1(大榄涌),原水累計流量1(大欖涌),ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F150_1_Flow,原水瞬时流量(大榄涌),原水瞬時流量(大欖涌),MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55002YL1,"2号泵启停状态","2號泵啟停狀態",,WT_TW_000004,PMP_S/S_STS,PMP_S/S_STS,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F570_Flow_counter1,累计流量1,累計流量1,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,B99QIT2209_sPV,食水水质余氯,食水水質餘氯,mg/L,WT_TW_000004,WATER QUALITY,CHLORINE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,B99QIT2208_sPV,食水水质PH,食水水質PH,,WT_TW_000004,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,B99QIT2207_sPV,食水水质浊度,食水水質濁度,NTU,WT_TW_000004,WATER QUALITY,TURBIDITY,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"89FIT2111T_TDAYF",蝴蝶谷配水库食水干管1当天累计流量,蝴蝶谷配水庫食水乾管1當天累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"93FIT3011T_TDAYF",蟠村园配水库食水当天累计流量,蟠村園配水庫食水當天累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"93FIT3011T_YDAYF",蟠村园配水库食水昨天累计流量,蟠村園配水庫食水昨天累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,B91PIT2201_sPV,蝴蝶谷食水供水压力,蝴蝶谷食水供水壓力,m,WT_TW_000004,PRESSURE,PRESSURE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,B99QIT2210_sPV,食水水质氟,食水水質氟,mg/L,WT_TW_000004,WATER QUALITY,FLUORIDE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,B91PIT3001_sPV,大埔头和蟠村园食水供水压力,大埔頭和蟠村園食水供水壓力,bar,WT_TW_000004,PRESSURE,PRESSURE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"99QIT0007_sPV",原水水质色度,原水水質色度,mg/L,WT_RW_000001,WATER QUALITY,COLOR,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"99QIT0007A_sPV",原水水质溶解性有机碳,原水水質溶解性有機碳,mg/L,WT_RW_000001,WATER QUALITY,DOC,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"89FIT2111T_sACCF",蝴蝶谷配水库食水干管1累计流量,蝴蝶谷配水庫食水乾管1累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"93FIT3011T_sACCF",蟠村园配水库食水累计流量,蟠村園配水庫食水累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"89FIT2111T_YDAYF",蝴蝶谷配水库食水干管1昨天累计流量,蝴蝶谷配水庫食水乾管1昨天累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"89FIT2211T_sACCF",蝴蝶谷配水库食水干管2累计流量,蝴蝶谷配水庫食水乾管2累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"89FIT2211T_TDAYF",蝴蝶谷配水库食水干管2当天累计流量,蝴蝶谷配水庫食水乾管2當天累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW026,NTE,Tai Po WTW,大埔濾水廠,大埔滤水厂,"89FIT2211T_YDAYF",蝴蝶谷配水库食水干管2昨天累计流量,蝴蝶谷配水庫食水乾管2昨天累計流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_Delivery_Flow_Yesterday_Flow,昨天流量,昨天流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow02_REV_Today_Flow,原水2号当天逆流量,原水2號當天逆流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow02_REV_Total_Flow,原水2号累计逆流量,原水2號累計逆流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CWT2_ResidualChlorine_AI_ResidualChlorine,食水水质余氯(清水池2号),食水水質餘氯(清水池2號),mg/L,WT_TW_000004,WATER QUALITY,CHLORINE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_Delivery_Flow_REV_Total_Flow,总逆流量,總逆流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow02_Total_Flow,原水2号累计流量,原水2號累計流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_RRT_pH_AI_PH,原水水质PH(水缸),原水水質PH(水缸),,WT_RW_000001,WATER QUALITY,PH,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_RRT_OuterLevel_AI_Level,原水水缸水位,原水水缸水位,m,WT_RW_000001,LEVEL,LEVEL,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow02_AI_Flow,原水2号瞬时流量,原水2號瞬時流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow01_AI_Flow,原水1号瞬时流量,原水1號瞬時流量,MLD,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_Delivery_Flow_Total_Flow,总流量,總流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow01_Today_Flow,原水1号当天流量,原水1號當天流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow02_REV_Yesterday_Flow,原水2号昨天逆流量,原水2號昨天逆流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_Delivery_Flow_REV_Today_Flow,今天逆流量,今天逆流量,ML,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow02_Today_Flow,原水2号当天流量,原水2號當天流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_Delivery_Flow_REV_AI_Flow,瞬时逆流量,瞬時逆流量,MLD,WT_TW_000004,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CWT1_Fluoride_AI_Fluoride,食水水质氟(清水池1号),食水水質氟(清水池1號),mg/L,WT_TW_000004,WATER QUALITY,FLUORIDE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CCR_InletFlow01_REV_Today_Flow,原水1号当天逆流量,原水1號當天逆流量,ML,WT_RW_000001,FLOW,FLOW,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
TW017,NTE,Sheung Shui Water Treatment Works,上水滤水厂,上水濾水廠,SS_CWT1_ResidualChlorine_AI_ResidualChlorine,食水水质余氯(清水池1号),食水水質餘氯(清水池1號),mg/L,WT_TW_000004,WATER QUALITY,CHLORINE,2026-09-21 15:47:00.353,2026-09-21 15:47:00.353
