"region_abbr","statistical_month","water_facility","water_supply","dm_update_time","dm_load_time"
NTW,"202404",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202404",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202505",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202506",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202501",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202501",34,22,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202504",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202502",48,31,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202301",34,22,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202306",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202302",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202305",57,37,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202310",53,34,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202305",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202311",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202407",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202406",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202402",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202406",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202402",48,31,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202410",53,34,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202404",53,34,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202408",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202411",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202401",34,22,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202408",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202501",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202504",53,34,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202505",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202504",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202507",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202507",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202506",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202502",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202505",57,37,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202506",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202305",11,7,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202304",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202307",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202307",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202309",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202601",6,4,2026-01-29 19:51:24.907,2026-01-29 19:51:24.907
HKSAR,"202601",34,22,2026-01-29 19:51:24.907,2026-01-29 19:51:24.907
NTW,"202601",6,4,2026-01-29 19:51:24.907,2026-01-29 19:51:24.907
K,"202512",9,6,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTW,"202509",9,6,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKSAR,"202512",48,30,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKSAR,"202509",48,30,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKSAR,"202511",57,37,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTW,"202510",10,6,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTW,"202512",9,6,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
K,"202509",9,6,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
K,"202511",11,7,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
K,"202510",10,6,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKSAR,"202510",53,34,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTW,"202511",11,7,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
NTW,"202602",9,6,2026-02-03 12:01:36.169,2026-02-03 12:01:36.169
HKSAR,"202602",48,31,2026-02-03 12:01:36.169,2026-02-03 12:01:36.169
K,"202602",9,6,2026-02-03 12:01:36.169,2026-02-03 12:01:36.169
HKSAR,"202308",48,31,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202302",48,31,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202412",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202406",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202312",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202312",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202301",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202310",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202304",53,34,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202312",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202503",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202503",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202409",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202405",57,37,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202408",48,31,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202311",57,37,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202308",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202303",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202302",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202303",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202401",6,4,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202412",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202409",48,30,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202411",57,37,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202403",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202402",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202410",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202403",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKSAR,"202507",34,22,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
NTW,"202508",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
K,"202508",9,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202411",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202405",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202406",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202503",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202302",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202407",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202410",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202307",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202508",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202412",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202401",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202507",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202506",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202312",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202403",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202303",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202310",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202504",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202309",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202311",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202305",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202308",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202304",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202409",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202408",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202404",15,10,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202402",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202505",17,11,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202501",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202502",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202306",14,9,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202301",10,6,2025-11-21 14:16:00.609,2025-11-21 14:16:00.609
HKI,"202601",10,6,2026-01-29 19:51:24.907,2026-01-29 19:51:24.907
HKI,"202511",17,11,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKI,"202510",15,10,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKI,"202512",14,9,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKI,"202509",14,9,2026-01-29 19:52:36.557,2026-01-29 19:52:36.557
HKI,"202602",14,9,2026-02-03 12:01:36.169,2026-02-03 12:01:36.169
