"statistical_month","i_code","tw_name_en","tw_name_tc","tw_name_cn","region_code","water_type_code","water_type_en","water_type_tc","water_type_cn","qualification_rate","dm_update_time","dm_load_time"
"202409",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,90.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202401",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.10000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202211",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202412",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,95.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202111",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,95.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202108",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202102",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202509",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202509",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,94.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202203",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,90.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202412",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,92.10000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202106",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,96.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202503",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.30000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202110",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202205",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202307",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,97.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202505",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,98.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202206",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,92.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202103",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,92.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202202",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,90.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202307",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202105",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,99.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202505",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,96.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202506",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,94.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202205",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202402",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202309",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,90.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202210",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202108",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,91.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202410",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,97.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202503",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,94.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202405",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,97.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202102",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,94.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202207",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,93.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202302",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,98.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202305",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,94.30000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202307",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202508",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202411",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202201",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,92.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202103",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,92.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202505",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,99.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202408",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,99.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202410",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,94.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202208",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202507",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,94.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202408",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,96.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202101",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,98.10000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202102",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,95.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202101",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,98.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202405",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,93.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202210",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,99.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202405",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,94.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202503",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,94.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202410",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202309",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202504",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,98.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202103",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.30000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202401",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,99.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202204",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202304",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,98.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202510",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202209",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202104",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,96.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202507",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,96.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202309",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,97.10000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202302",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202202",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,91.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202206",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,97.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202409",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,92.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202402",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202111",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202501",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,99.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202503",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,97.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202504",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,91.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202104",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,92.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202510",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202305",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,98.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202406",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.30000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202205",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,96.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202302",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,94.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202207",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,94.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202207",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,90.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202403",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,95.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202506",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,99.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202508",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202102",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,95.40000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202102",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,90.80000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202409",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,93.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202306",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202507",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.10000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202305",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,99.10000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202505",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,97.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202405",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.10000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202102",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202306",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,97.70000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202104",TW009,Silver Mine Bay Water Treatment Works,銀礦灣濾水廠,银矿湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,96.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202103",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,90.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202201",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202401",TW011,Tai O Water Treatment Works,大澳濾水廠,大澳滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,97.60000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202308",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,95.50000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202401",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000003,Filtered Water,過濾水,过滤水,94.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202404",TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,小蚝湾滤水厂,RG_SR_000001,WT_TW_000004,Final Water,出廠水,出厂水,99.00000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202204",TW019,Cheung Sha Water Treatment Works,長沙濾水廠,长沙滤水厂,RG_SR_000001,WT_TW_000002,Dosed Water,投藥水,投药水,95.90000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
"202201",TW015,Red Hill Water Treatment Works,紅山濾水廠,红山滤水厂,RG_SR_000001,WT_RW_000001,Raw Water,原水,原水,92.20000,2025-11-26 10:09:58.985,2025-11-26 10:09:58.985
