"id","month","region","item_code","item_name","item_value","unit","etl_time"
197,"202402",NTE,"",运作区水费完成收费,200.00,万元,2024-04-22 17:10:00.000
201,"202404",NTE,"",运作区水费完成收费,250.00,万元,2024-04-22 17:10:00.000
203,"202409",NTE,"",运作区水费完成收费,240.00,万元,2024-04-22 17:10:00.000
208,"202403",NTW,"",运作区水费目标收费,50.00,万元,2024-04-22 17:10:00.000
213,"202409",NTW,"",运作区水费完成收费,240.00,万元,2024-04-22 17:10:00.000
216,"202404",香港特别行政区,"",用户投诉乱收费,55.00,单,2024-04-22 17:10:00.000
219,"202404",香港特别行政区,"",用户投诉漏损,58.00,单,2024-04-22 17:10:00.000
221,"202404",K,"",运作区用户投诉乱收费,60.00,单,2024-04-22 17:10:00.000
223,"202404",K,"",运作区用户投诉水污染,62.00,单,2024-04-22 17:10:00.000
224,"202404",K,"",运作区用户投诉漏损,63.00,单,2024-04-22 17:10:00.000
226,"202404",HKI,"",运作区用户投诉乱收费,65.00,单,2024-04-22 17:10:00.000
230,"202404",HKI,"",运作区用户投诉停水,69.00,单,2024-04-22 17:10:00.000
241,"202402",香港特别行政区,"",户表数量,10.00,个,2024-04-22 17:10:00.000
245,"202402",NTW,"",运作区户表数量,14.00,个,2024-04-22 17:10:00.000
249,"202403",NTE,"",运作区户表数量,30.00,个,2024-04-22 17:10:00.000
251,"202404",香港特别行政区,"",户表数量,8.00,个,2024-04-22 17:10:00.000
252,"202404",K,"",运作区户表数量,21.00,个,2024-04-22 17:10:00.000
262,"202402",K,"",运作区用水量,10.00,m3,2024-04-22 17:10:00.000
263,"202402",HKI,"",运作区用水量,11.00,m3,2024-04-22 17:10:00.000
266,"202403",香港特别行政区,"",用水量,14.00,m3,2024-04-22 17:10:00.000
268,"202403",HKI,"",运作区用水量,16.00,m3,2024-04-22 17:10:00.000
274,"202404",NTE,"",运作区用水量,22.00,m3,2024-04-22 17:10:00.000
275,"202404",NTW,"",运作区用水量,23.00,m3,2024-04-22 17:10:00.000
280,"202409",NTW,"",运作区用水量,48.00,m3,2024-04-22 17:10:00.000
281,"202404",香港特别行政区,"",用户分类政府供应,7.00,万户,2024-04-22 17:10:00.000
285,"202404",K,"",运作区用户分类政府供应,11.00,万户,2024-04-22 17:10:00.000
286,"202404",K,"",运作区用户分类医院和诊所,12.00,万户,2024-04-22 17:10:00.000
287,"202404",K,"",运作区用户分类居民,13.00,万户,2024-04-22 17:10:00.000
290,"202404",HKI,"",运作区用户分类医院和诊所,16.00,万户,2024-04-22 17:10:00.000
291,"202404",HKI,"",运作区用户分类居民,17.00,万户,2024-04-22 17:10:00.000
7,"202406",香港特别行政区,"",水费完成收费,210.00,万元,2024-04-22 17:10:00.000
27,"202406",K,"",运作区水费目标收费,80.00,万元,2024-04-22 17:10:00.000
31,"202406",K,"",运作区水费完成收费,50.00,万元,2024-04-22 17:10:00.000
36,"202408",K,"",运作区水费目标收费,100.00,万元,2024-04-22 17:10:00.000
43,"202411",K,"",运作区水费目标收费,130.00,万元,2024-04-22 17:10:00.000
46,"202411",K,"",运作区水费完成收费,260.00,万元,2024-04-22 17:10:00.000
58,"202408",HKI,"",运作区水费目标收费,100.00,万元,2024-04-22 17:10:00.000
95,"202411",NTW,"",运作区水费目标收费,130.00,万元,2024-04-22 17:10:00.000
97,"202411",NTW,"",运作区水费完成收费,260.00,万元,2024-04-22 17:10:00.000
99,"202406",香港特别行政区,"",户表数量,25.00,个,2024-04-22 17:10:00.000
101,"202406",K,"",运作区户表数量,31.00,个,2024-04-22 17:10:00.000
107,"202406",NTW,"",运作区户表数量,13.00,个,2024-04-22 17:10:00.000
115,"202408",HKI,"",运作区户表数量,42.00,个,2024-04-22 17:10:00.000
125,"202406",HKI,"",运作区用水量,31.00,m3,2024-04-22 17:10:00.000
131,"202408",香港特别行政区,"",用水量,39.00,m3,2024-04-22 17:10:00.000
134,"202408",K,"",运作区用水量,40.00,m3,2024-04-22 17:10:00.000
140,"202408",NTW,"",运作区用水量,43.00,m3,2024-04-22 17:10:00.000
21,"202404",香港特别行政区,"",石梨貝流量,567.90,m3/h,2024-04-22 17:10:00.000
32,"202404",香港特别行政区,"",九华径流量,567.90,m3/h,2024-04-22 17:10:00.000
51,"202404",K,"",运作区石梨貝压力,0.25,Mpa,2024-04-22 17:10:00.000
59,"202404",K,"",运作区薄扶林压力,0.19,Mpa,2024-04-22 17:10:00.000
65,"202404",K,"",运作区渣甸山流量,563.90,m3/h,2024-04-22 17:10:00.000
75,"202404",K,"",运作区薄扶林水质合格率,96.00,%,2024-04-22 17:10:00.000
76,"202404",K,"",运作区九华径水质合格率,96.00,%,2024-04-22 17:10:00.000
79,"202404",HKI,"",运作区薄扶林压力,0.19,Mpa,2024-04-22 17:10:00.000
104,"202404",NTE,"",运作区石梨貝流量,565.90,m3/h,2024-04-22 17:10:00.000
109,"202404",NTE,"",运作区薄扶林流量,565.90,m3/h,2024-04-22 17:10:00.000
113,"202404",NTE,"",运作区石梨貝水质合格率,95.00,%,2024-04-22 17:10:00.000
118,"202404",NTE,"",运作区九华径水质合格率,95.00,%,2024-04-22 17:10:00.000
124,"202404",NTW,"",运作区薄扶林压力,0.19,Mpa,2024-04-22 17:10:00.000
135,"202404",NTW,"",运作区九华径流量,568.90,m3/h,2024-04-22 17:10:00.000
142,"202404",NTW,"",运作区九华径水质合格率,94.00,%,2024-04-22 17:10:00.000
143,"202402",香港特别行政区,"",水费目标收费,40.00,万元,2024-04-22 17:10:00.000
145,"202403",香港特别行政区,"",水费目标收费,50.00,万元,2024-04-22 17:10:00.000
148,"202404",香港特别行政区,"",水费完成收费,190.00,万元,2024-04-22 17:10:00.000
150,"202409",香港特别行政区,"",水费目标收费,110.00,万元,2024-04-22 17:10:00.000
153,"202409",香港特别行政区,"",水费完成收费,240.00,万元,2024-04-22 17:10:00.000
155,"202412",香港特别行政区,"",水费目标收费,140.00,万元,2024-04-22 17:10:00.000
162,"202402",K,"",运作区水费目标收费,40.00,万元,2024-04-22 17:10:00.000
165,"202402",K,"",运作区水费完成收费,200.00,万元,2024-04-22 17:10:00.000
167,"202403",K,"",运作区水费目标收费,50.00,万元,2024-04-22 17:10:00.000
173,"202404",K,"",运作区水费目标收费,60.00,万元,2024-04-22 17:10:00.000
176,"202404",K,"",运作区水费完成收费,250.00,万元,2024-04-22 17:10:00.000
179,"202409",K,"",运作区水费目标收费,110.00,万元,2024-04-22 17:10:00.000
182,"202409",K,"",运作区水费完成收费,240.00,万元,2024-04-22 17:10:00.000
184,"202412",K,"",运作区水费目标收费,140.00,万元,2024-04-22 17:10:00.000
185,"202412",K,"",运作区水费完成收费,50.00,万元,2024-04-22 17:10:00.000
186,"202402",HKI,"",运作区水费目标收费,40.00,万元,2024-04-22 17:10:00.000
192,"202409",HKI,"",运作区水费目标收费,110.00,万元,2024-04-22 17:10:00.000
195,"202412",HKI,"",运作区水费完成收费,200.00,万元,2024-04-22 17:10:00.000
204,"202412",NTE,"",运作区水费目标收费,140.00,万元,2024-04-22 17:10:00.000
210,"202404",NTW,"",运作区水费目标收费,60.00,万元,2024-04-22 17:10:00.000
214,"202412",NTW,"",运作区水费目标收费,40.00,万元,2024-04-22 17:10:00.000
215,"202412",NTW,"",运作区水费完成收费,200.00,万元,2024-04-22 17:10:00.000
217,"202404",香港特别行政区,"",用户投诉噪音,56.00,单,2024-04-22 17:10:00.000
220,"202404",香港特别行政区,"",用户投诉停水,59.00,单,2024-04-22 17:10:00.000
225,"202404",K,"",运作区用户投诉停水,64.00,单,2024-04-22 17:10:00.000
228,"202404",HKI,"",运作区用户投诉水污染,67.00,单,2024-04-22 17:10:00.000
229,"202404",HKI,"",运作区用户投诉漏损,68.00,单,2024-04-22 17:10:00.000
232,"202404",NTE,"",运作区用户投诉噪音,71.00,单,2024-04-22 17:10:00.000
233,"202404",NTE,"",运作区用户投诉水污染,72.00,单,2024-04-22 17:10:00.000
235,"202404",NTE,"",运作区用户投诉停水,74.00,单,2024-04-22 17:10:00.000
236,"202404",NTW,"",运作区用户投诉乱收费,75.00,单,2024-04-22 17:10:00.000
239,"202404",NTW,"",运作区用户投诉漏损,78.00,单,2024-04-22 17:10:00.000
240,"202404",NTW,"",运作区用户投诉停水,79.00,单,2024-04-22 17:10:00.000
242,"202402",K,"",运作区户表数量,11.00,个,2024-04-22 17:10:00.000
244,"202402",NTE,"",运作区户表数量,13.00,个,2024-04-22 17:10:00.000
253,"202404",HKI,"",运作区户表数量,22.00,个,2024-04-22 17:10:00.000
254,"202404",NTE,"",运作区户表数量,8.00,个,2024-04-22 17:10:00.000
255,"202404",NTW,"",运作区户表数量,12.00,个,2024-04-22 17:10:00.000
258,"202409",HKI,"",运作区户表数量,47.00,个,2024-04-22 17:10:00.000
259,"202409",NTE,"",运作区户表数量,48.00,个,2024-04-22 17:10:00.000
264,"202402",NTE,"",运作区用水量,22.00,m3,2024-04-22 17:10:00.000
271,"202404",香港特别行政区,"",用水量,19.00,m3,2024-04-22 17:10:00.000
277,"202409",K,"",运作区用水量,45.00,m3,2024-04-22 17:10:00.000
293,"202404",NTE,"",运作区用户分类政府供应,19.00,万户,2024-04-22 17:10:00.000
295,"202404",NTE,"",运作区用户分类居民,21.00,万户,2024-04-22 17:10:00.000
298,"202404",NTW,"",运作区用户分类医院和诊所,24.00,万户,2024-04-22 17:10:00.000
299,"202404",NTW,"",运作区用户分类居民,25.00,万户,2024-04-22 17:10:00.000
301,"202404",香港特别行政区,"",用户分类政府供应电子账户占比,7.00,个,2024-04-22 17:10:00.000
303,"202404",香港特别行政区,"",用户分类居民电子账户占比,9.00,个,2024-04-22 17:10:00.000
306,"202404",K,"",运作区用户分类医院和诊所电子账户占比,5.00,个,2024-04-22 17:10:00.000
312,"202404",HKI,"",运作区用户分类居民电子账户占比,9.00,个,2024-04-22 17:10:00.000
318,"202404",NTW,"",运作区用户分类政府供应电子账户占比,7.00,个,2024-04-22 17:10:00.000
326,"202404",香港特别行政区,"",take up书面,40.00,个,2024-04-22 17:10:00.000
328,"202404",香港特别行政区,"",take up电话,50.00,个,2024-04-22 17:10:00.000
331,"202404",香港特别行政区,"",give up电话,190.00,个,2024-04-22 17:10:00.000
334,"202404",香港特别行政区,"",give up书面,200.00,个,2024-04-22 17:10:00.000
342,"202404",K,"",运作区take up书面,40.00,个,2024-04-22 17:10:00.000
347,"202404",K,"",运作区take up其他来源,60.00,个,2024-04-22 17:10:00.000
348,"202404",K,"",运作区give up电话,250.00,个,2024-04-22 17:10:00.000
352,"202404",K,"",运作区give up传真,80.00,个,2024-04-22 17:10:00.000
353,"202404",K,"",运作区give up电话,50.00,个,2024-04-22 17:10:00.000
361,"202404",HKI,"",运作区take up传真,400.00,个,2024-04-22 17:10:00.000
365,"202404",HKI,"",运作区take up其他来源,60.00,个,2024-04-22 17:10:00.000
370,"202404",HKI,"",运作区give up电话,210.00,个,2024-04-22 17:10:00.000
373,"202404",NTE,"",运作区take up电话,30.00,个,2024-04-22 17:10:00.000
377,"202404",NTE,"",运作区take up电话,50.00,个,2024-04-22 17:10:00.000
381,"202404",NTE,"",运作区give up亲身,70.00,个,2024-04-22 17:10:00.000
382,"202404",NTE,"",运作区give up书面,200.00,个,2024-04-22 17:10:00.000
384,"202404",NTE,"",运作区give up电话,50.00,个,2024-04-22 17:10:00.000
388,"202404",NTW,"",运作区take up亲身,160.00,个,2024-04-22 17:10:00.000
390,"202404",NTW,"",运作区take up传真,400.00,个,2024-04-22 17:10:00.000
391,"202404",NTW,"",运作区take up电话,50.00,个,2024-04-22 17:10:00.000
396,"202404",NTW,"",运作区give up书面,50.00,个,2024-04-22 17:10:00.000
397,"202404",NTW,"",运作区give up传真,80.00,个,2024-04-22 17:10:00.000
399,"202404",NTW,"",运作区give up网站,90.00,个,2024-04-22 17:10:00.000
404,"202402",香港特别行政区,"",阶梯水费tier4,3000.00,万元,2024-04-22 17:10:00.000
408,"202403",香港特别行政区,"",阶梯水费tier4,2000.00,万元,2024-04-22 17:10:00.000
412,"202402",K,"",运作区阶梯水费tier4,2344.00,万元,2024-04-22 17:10:00.000
414,"202403",K,"",运作区阶梯水费tier2,7234.00,万元,2024-04-22 17:10:00.000
420,"202402",HKI,"",运作区阶梯水费tier4,3000.00,万元,2024-04-22 17:10:00.000
423,"202403",HKI,"",运作区阶梯水费tier3,5555.00,万元,2024-04-22 17:10:00.000
424,"202403",HKI,"",运作区阶梯水费tier4,2000.00,万元,2024-04-22 17:10:00.000
426,"202402",NTE,"",运作区阶梯水费tier2,7234.00,万元,2024-04-22 17:10:00.000
429,"202403",NTE,"",运作区阶梯水费tier1,44888.00,万元,2024-04-22 17:10:00.000
430,"202403",NTE,"",运作区阶梯水费tier2,7234.00,万元,2024-04-22 17:10:00.000
431,"202403",NTE,"",运作区阶梯水费tier3,4234.00,万元,2024-04-22 17:10:00.000
438,"202403",NTW,"",运作区阶梯水费tier2,7777.00,万元,2024-04-22 17:10:00.000
3,"202401",香港特别行政区,"",水费目标收费,30.00,万元,2024-04-22 17:10:00.000
22,"202405",K,"",运作区水费完成收费,200.00,万元,2024-04-22 17:10:00.000
24,"202407",K,"",运作区水费目标收费,90.00,万元,2024-04-22 17:10:00.000
45,"202410",HKI,"",运作区水费目标收费,120.00,万元,2024-04-22 17:10:00.000
52,"202401",NTE,"",运作区水费完成收费,160.00,万元,2024-04-22 17:10:00.000
133,"202410",NTE,"",运作区水费完成收费,100.00,万元,2024-04-22 17:10:00.000
149,"202401",NTW,"",运作区水费目标收费,30.00,万元,2024-04-22 17:10:00.000
156,"202407",NTW,"",运作区水费目标收费,90.00,万元,2024-04-22 17:10:00.000
157,"202407",NTW,"",运作区水费完成收费,220.00,万元,2024-04-22 17:10:00.000
158,"202410",NTW,"",运作区水费目标收费,120.00,万元,2024-04-22 17:10:00.000
160,"202410",NTW,"",运作区水费完成收费,250.00,万元,2024-04-22 17:10:00.000
163,"202401",K,"",运作区户表数量,6.00,个,2024-04-22 17:10:00.000
171,"202405",K,"",运作区户表数量,26.00,个,2024-04-22 17:10:00.000
172,"202405",HKI,"",运作区户表数量,27.00,个,2024-04-22 17:10:00.000
175,"202405",NTW,"",运作区户表数量,44.00,个,2024-04-22 17:10:00.000
178,"202407",K,"",运作区户表数量,36.00,个,2024-04-22 17:10:00.000
181,"202407",NTE,"",运作区户表数量,25.00,个,2024-04-22 17:10:00.000
323,"202401",HKI,"",运作区用水量,6.00,m3,2024-04-22 17:10:00.000
332,"202401",NTE,"",运作区用水量,7.00,m3,2024-04-22 17:10:00.000
346,"202405",香港特别行政区,"",用水量,24.00,m3,2024-04-22 17:10:00.000
349,"202405",K,"",运作区用水量,25.00,m3,2024-04-22 17:10:00.000
356,"202405",HKI,"",运作区用水量,26.00,m3,2024-04-22 17:10:00.000
442,"202407",K,"",运作区用水量,35.00,m3,2024-04-22 17:10:00.000
443,"202407",HKI,"",运作区用水量,36.00,m3,2024-04-22 17:10:00.000
446,"202401",香港特别行政区,"",阶梯水费tier1,33993.00,万元,2024-04-22 17:10:00.000
447,"202401",香港特别行政区,"",阶梯水费tier2,8888.00,万元,2024-04-22 17:10:00.000
454,"202401",HKI,"",运作区阶梯水费tier1,33993.00,万元,2024-04-22 17:10:00.000
455,"202401",HKI,"",运作区阶梯水费tier2,8888.00,万元,2024-04-22 17:10:00.000
458,"202401",NTE,"",运作区阶梯水费tier1,44993.00,万元,2024-04-22 17:10:00.000
463,"202401",NTW,"",运作区阶梯水费tier2,8888.00,万元,2024-04-22 17:10:00.000
464,"202401",NTW,"",运作区阶梯水费tier3,6666.00,万元,2024-04-22 17:10:00.000
278,"202409",HKI,"",运作区用水量,46.00,m3,2024-04-22 17:10:00.000
279,"202409",NTE,"",运作区用水量,47.00,m3,2024-04-22 17:10:00.000
282,"202404",香港特别行政区,"",用户分类医院和诊所,8.00,万户,2024-04-22 17:10:00.000
283,"202404",香港特别行政区,"",用户分类居民,9.00,万户,2024-04-22 17:10:00.000
289,"202404",HKI,"",运作区用户分类政府供应,15.00,万户,2024-04-22 17:10:00.000
292,"202404",HKI,"",运作区用户分类其他,18.00,万户,2024-04-22 17:10:00.000
300,"202404",NTW,"",运作区用户分类其他,26.00,万户,2024-04-22 17:10:00.000
302,"202404",香港特别行政区,"",用户分类医院和诊所电子账户占比,8.00,个,2024-04-22 17:10:00.000
305,"202404",K,"",运作区用户分类政府供应电子账户占比,7.00,个,2024-04-22 17:10:00.000
307,"202404",K,"",运作区用户分类居民电子账户占比,5.00,个,2024-04-22 17:10:00.000
308,"202404",K,"",运作区用户分类其他电子账户占比,6.00,个,2024-04-22 17:10:00.000
309,"202404",HKI,"",运作区用户分类政府供应电子账户占比,4.00,个,2024-04-22 17:10:00.000
313,"202404",HKI,"",运作区用户分类其他电子账户占比,6.00,个,2024-04-22 17:10:00.000
315,"202404",NTE,"",运作区用户分类医院和诊所电子账户占比,5.00,个,2024-04-22 17:10:00.000
316,"202404",NTE,"",运作区用户分类居民电子账户占比,5.00,个,2024-04-22 17:10:00.000
319,"202404",NTW,"",运作区用户分类医院和诊所电子账户占比,8.00,个,2024-04-22 17:10:00.000
321,"202404",NTW,"",运作区用户分类居民电子账户占比,9.00,个,2024-04-22 17:10:00.000
322,"202404",NTW,"",运作区用户分类其他电子账户占比,10.00,个,2024-04-22 17:10:00.000
329,"202404",香港特别行政区,"",take up网站,180.00,个,2024-04-22 17:10:00.000
333,"202404",香港特别行政区,"",give up亲身,70.00,个,2024-04-22 17:10:00.000
336,"202404",香港特别行政区,"",give up传真,80.00,个,2024-04-22 17:10:00.000
341,"202404",K,"",运作区take up亲身,160.00,个,2024-04-22 17:10:00.000
344,"202404",K,"",运作区take up电话,50.00,个,2024-04-22 17:10:00.000
350,"202404",K,"",运作区give up亲身,70.00,个,2024-04-22 17:10:00.000
355,"202404",K,"",运作区give up其他来源,220.00,个,2024-04-22 17:10:00.000
358,"202404",HKI,"",运作区take up亲身,160.00,个,2024-04-22 17:10:00.000
363,"202404",HKI,"",运作区take up电话,50.00,个,2024-04-22 17:10:00.000
364,"202404",HKI,"",运作区take up网站,180.00,个,2024-04-22 17:10:00.000
367,"202404",HKI,"",运作区give up亲身,70.00,个,2024-04-22 17:10:00.000
368,"202404",HKI,"",运作区give up书面,50.00,个,2024-04-22 17:10:00.000
371,"202404",HKI,"",运作区give up网站,90.00,个,2024-04-22 17:10:00.000
372,"202404",HKI,"",运作区give up其他来源,220.00,个,2024-04-22 17:10:00.000
374,"202404",NTE,"",运作区take up亲身,160.00,个,2024-04-22 17:10:00.000
376,"202404",NTE,"",运作区take up传真,200.00,个,2024-04-22 17:10:00.000
378,"202404",NTE,"",运作区take up网站,350.00,个,2024-04-22 17:10:00.000
379,"202404",NTE,"",运作区take up其他来源,60.00,个,2024-04-22 17:10:00.000
380,"202404",NTE,"",运作区give up电话,250.00,个,2024-04-22 17:10:00.000
385,"202404",NTE,"",运作区give up网站,90.00,个,2024-04-22 17:10:00.000
386,"202404",NTE,"",运作区give up其他来源,220.00,个,2024-04-22 17:10:00.000
387,"202404",NTW,"",运作区take up电话,30.00,个,2024-04-22 17:10:00.000
389,"202404",NTW,"",运作区take up书面,40.00,个,2024-04-22 17:10:00.000
392,"202404",NTW,"",运作区take up网站,180.00,个,2024-04-22 17:10:00.000
394,"202404",NTW,"",运作区give up电话,190.00,个,2024-04-22 17:10:00.000
395,"202404",NTW,"",运作区give up亲身,70.00,个,2024-04-22 17:10:00.000
400,"202404",NTW,"",运作区give up其他来源,220.00,个,2024-04-22 17:10:00.000
401,"202402",香港特别行政区,"",阶梯水费tier1,33999.00,万元,2024-04-22 17:10:00.000
405,"202403",香港特别行政区,"",阶梯水费tier1,33888.00,万元,2024-04-22 17:10:00.000
407,"202403",香港特别行政区,"",阶梯水费tier3,5555.00,万元,2024-04-22 17:10:00.000
409,"202402",K,"",运作区阶梯水费tier1,44888.00,万元,2024-04-22 17:10:00.000
413,"202403",K,"",运作区阶梯水费tier1,44888.00,万元,2024-04-22 17:10:00.000
416,"202403",K,"",运作区阶梯水费tier4,2344.00,万元,2024-04-22 17:10:00.000
418,"202402",HKI,"",运作区阶梯水费tier2,9999.00,万元,2024-04-22 17:10:00.000
421,"202403",HKI,"",运作区阶梯水费tier1,33888.00,万元,2024-04-22 17:10:00.000
422,"202403",HKI,"",运作区阶梯水费tier2,7777.00,万元,2024-04-22 17:10:00.000
432,"202403",NTE,"",运作区阶梯水费tier4,2344.00,万元,2024-04-22 17:10:00.000
433,"202402",NTW,"",运作区阶梯水费tier1,33999.00,万元,2024-04-22 17:10:00.000
436,"202402",NTW,"",运作区阶梯水费tier4,3000.00,万元,2024-04-22 17:10:00.000
439,"202403",NTW,"",运作区阶梯水费tier3,5555.00,万元,2024-04-22 17:10:00.000
6,"202405",香港特别行政区,"",水费完成收费,200.00,万元,2024-04-22 17:10:00.000
14,"202410",香港特别行政区,"",水费完成收费,250.00,万元,2024-04-22 17:10:00.000
30,"202410",K,"",运作区水费完成收费,100.00,万元,2024-04-22 17:10:00.000
34,"202401",HKI,"",运作区水费完成收费,160.00,万元,2024-04-22 17:10:00.000
37,"202405",HKI,"",运作区水费目标收费,70.00,万元,2024-04-22 17:10:00.000
40,"202405",HKI,"",运作区水费完成收费,50.00,万元,2024-04-22 17:10:00.000
41,"202407",HKI,"",运作区水费目标收费,90.00,万元,2024-04-22 17:10:00.000
44,"202407",HKI,"",运作区水费完成收费,220.00,万元,2024-04-22 17:10:00.000
48,"202410",HKI,"",运作区水费完成收费,250.00,万元,2024-04-22 17:10:00.000
83,"202407",NTE,"",运作区水费完成收费,220.00,万元,2024-04-22 17:10:00.000
152,"202405",NTW,"",运作区水费目标收费,70.00,万元,2024-04-22 17:10:00.000
161,"202401",香港特别行政区,"",户表数量,5.00,个,2024-04-22 17:10:00.000
166,"202401",NTE,"",运作区户表数量,8.00,个,2024-04-22 17:10:00.000
168,"202401",NTW,"",运作区户表数量,9.00,个,2024-04-22 17:10:00.000
169,"202405",香港特别行政区,"",户表数量,5.00,个,2024-04-22 17:10:00.000
174,"202405",NTE,"",运作区户表数量,33.00,个,2024-04-22 17:10:00.000
183,"202407",NTW,"",运作区户表数量,26.00,个,2024-04-22 17:10:00.000
2,"202406",香港特别行政区,"",水费目标收费,80.00,万元,2024-04-22 17:10:00.000
16,"202408",香港特别行政区,"",水费完成收费,230.00,万元,2024-04-22 17:10:00.000
23,"202411",香港特别行政区,"",水费完成收费,260.00,万元,2024-04-22 17:10:00.000
39,"202408",K,"",运作区水费完成收费,230.00,万元,2024-04-22 17:10:00.000
54,"202406",HKI,"",运作区水费完成收费,210.00,万元,2024-04-22 17:10:00.000
60,"202408",HKI,"",运作区水费完成收费,350.00,万元,2024-04-22 17:10:00.000
62,"202411",HKI,"",运作区水费目标收费,130.00,万元,2024-04-22 17:10:00.000
64,"202411",HKI,"",运作区水费完成收费,260.00,万元,2024-04-22 17:10:00.000
67,"202406",NTE,"",运作区水费目标收费,80.00,万元,2024-04-22 17:10:00.000
86,"202406",NTW,"",运作区水费目标收费,80.00,万元,2024-04-22 17:10:00.000
91,"202408",NTW,"",运作区水费目标收费,100.00,万元,2024-04-22 17:10:00.000
93,"202408",NTW,"",运作区水费完成收费,350.00,万元,2024-04-22 17:10:00.000
105,"202406",NTE,"",运作区户表数量,12.00,个,2024-04-22 17:10:00.000
117,"202408",NTE,"",运作区户表数量,43.00,个,2024-04-22 17:10:00.000
119,"202408",NTW,"",运作区户表数量,44.00,个,2024-04-22 17:10:00.000
121,"202406",香港特别行政区,"",用水量,29.00,m3,2024-04-22 17:10:00.000
1,"202404",香港特别行政区,"",石梨貝压力,0.25,Mpa,2024-04-22 17:10:00.000
