"ID","Region","Installation_No","Offical_Eng_Name","Offical_Chi_Name","Address_Eng","Address_Chi","Tel_No","Fax_No"
21,NTW,PS026,Ha Lo Wai Salt Water Pumping Station,下老圍海水抽水站,"Shing Mun Ha Chuen, Tsuen Wan",荃灣城門下村,"24228285",NA
22,HK,PS027,Kennedy Town Salt Water Pumping Station,堅尼地城海水抽水站,"34 Victoria Road, Mount Davis",摩星嶺域多利道34 號,"28170619",NA
23,HK,PS028,Magazine Gap Road Fresh Water Pumping Station,馬己仙峽道食水抽水站,"Magazine Gap Road, Mid-levels",半山區馬己仙峽道,"25210626",NA
24,HK,PS029,Sandy Bay Fresh Water Pumping Station,大口環食水抽水站,"Sandy Bay Road, Pok Fu Lam",薄扶林大口環道,"28173833",NA
25,HK,PS030,Severn Road Fresh Water Pumping Station,施勳道食水抽水站,"Severn Road, Mount Gough, The Peak",山頂歌賦山施勳道,"28497122",NA
26,HK,PS032,Telegraph Bay Fresh Water Pumping Station,鋼線灣食水抽水站,Kong Sin Wan,鋼綫灣,"25513065",NA
27,NTW,PS033,Tsuen Wan Fresh Water Pumping Station,荃灣食水抽水站,"Shing Mun Road, Tsuen Wan",荃灣城門道,NA,NA
28,K,PS034,Beacon Hill Fresh Water Pumping Station,筆架山食水抽水站,"Beacon Hill Road, Kowloon Tong",九龍塘筆架山道,"23370865",NA
29,K,PS035,Beacon Hill Salt Water Pumping Station,筆架山海水抽水站,"Tai Wo Ping Road, Sham Shui Po",深水埗大窩坪道,"27784865",NA
30,HK,PS036,Brick Hill Salt Water Pumping Station,南朗山海水抽水站,"Shum Wan Road, Aberdeen",香港仔深灣道,"25542021",NA
31,K,PS037,Ma Tau Wai Fresh Water Pumping Station,馬頭圍食水抽水站,"Sheung Woo Street, Ho Man Tin",何文田常和街,"27127703",NA
32,NTW,PS038,Tsuen Wan Raw Water Pumping Station,荃灣原水抽水站,"11 Shing Mun Road, Tsuen Wan",荃灣城門道11號,"24902033",NA
33,NTE,PS039,Tai Mei Tuk Raw Water Pumping Station,大美督原水抽水站,"Bride's Pool Road, Tai Mei Tuk, Tai Po",大埔大美督新娘潭路,"26644511",NA
34,NTW,PS041,Tsuen Wan West Fresh Water and Salt Water Pumping Station,荃灣西食水及海水抽水站,"Route Twisk North 99, Route Twisk Villa, Tsuen Wan",荃灣荃錦公路北99號,"24901476",NA
35,K,PS044,Sau Mau Ping Salt Water Pumping Station,秀茂坪海水抽水站,Tseng Kwan O Road Near Sau Mau Ping Estate Sau Mau Ping,秀茂坪將軍澳道近秀茂坪邨,"27275130",NA
36,K,PS045,Tai Wan Salt Water Pumping Station,大環海水抽水站,"Wan Hoi Street, Hung Hom",紅磡環海街,"23644988",NA
37,HK,PS046,North Point High Level Salt Water Pumping Station,北角高地海水抽水站,"Tin Hau Temple Road, North Point",北角天后廟道,"25120615",NA
38,NTW,PS047,Kwai Shing Salt Water Pumping Station,葵盛海水抽水站,"Kwai Shing Circuit, Kwai Chung",葵涌葵盛圍,"24290092",NA
39,K,PS050,Ching Cheung Road Temporary Fresh Water Pumping Station,呈祥道臨時食水抽水站,"Ching Cheung Road, Cheung Sha Wan",長沙灣呈祥道,"27299706",NA
40,NTE,PS051,High Island Raw Water Pumping Station,萬宜原水抽水站,"High Island Reservoir, Pak Tam Chung, Sai Kung",西貢北潭涌萬宜水庫,"27921244",NA
41,HK,PS052,Tong Shui Road Fresh Water Pumping Station,糖水道食水抽水站,"Tong Shui Road, North Point",北角糖水道,"25666423",NA
42,NTW,PS053,Lai Chi Kok Fresh Water Pumping Station,荔枝角食水抽水站,"Wah Tai Road, Lai Chi Kok",荔枝角華泰路,"27430677",NA
43,HK,PS054,Stanley Mound No.2 Fresh Water Pumping Station,赤柱崗二號食水抽水站,"Stanley Mound Road, Stanley",赤柱赤柱村道,"28990056",NA
44,NTE,PS055,Ho Chung Lowland Raw Water Pumping Station,蠔涌低地原水抽水站,"Ho Chung Village, Sai Kung",西貢蠔涌村,"27198693",NA
45,NTE,PS056,Hoi Ha Lowland Raw Water Pumping Station,海下低地原水抽水站,"Hoi Ha Village, Sai Kung",西貢海下村,"23282326",NA
46,NTE,PS057,Kei Ling Ha Lowland Raw Water Pumping Station,企嶺下低地原水抽水站,"near Tai Wan Tsuen, Sai Kung",西貢近大環村,"27924116",NA
47,NTE,PS058,Long Keng Lowland Raw Water Pumping Station,浪徑低地原水抽水站,"Long Keng Village, Sai Kung",西貢浪徑村,"27922194",NA
48,NTE,PS059,Pak Tam Chung Lowland Raw Water Pumping Station,北潭涌低地原水抽水站,"Wong Shek Po Tsak Yue Wu Village, Sai Kung",西貢黃石鯽魚湖村,"27923162",NA
49,NTE,PS060,Tai Mong Tsai Lowland Raw Water Pumping Station,大網仔低地原水抽水站,"Yan Yee Road, Tai Mong Tsai Village, Sai Kung",西貢仁義路大網仔村,"27922193",NA
50,NTE,PS061,Tai Shui Hang Lowland Raw Water Pumping Station,大水坑低地原水抽水站,"Tai Shui Hang Village, Ma On Shan",馬鞍山大水坑村,"26429135",NA
51,NTE,PS062,Wu Lei Tau Lowland Raw Water Pumping Station,狐狸頭低地原水抽水站,"Tai Chung Hau Village, Sai Kung",西貢大涌口村,"27922835",NA
52,NTE,PS063,Fo Tan Fresh Water and Salt Water Pumping Station,火炭食水及海水抽水站,"3 Sui Wo Road, Sha Tin",沙田穗禾路3 號,"26032356",NA
53,NTW,PS064,Lai Chi Kok Salt Water Pumping Station,荔枝角海水抽水站,"Lai King Hill Road, Lai Chi Kok",荔枝角荔景山道,"27421302",NA
54,K,PS066,Shun Lee Tsuen Fresh Water Pumping Station,順利邨食水抽水站,"Shun Lee Tsuen Clear Water Bay Road, Choi Wan",彩雲清水灣道順利邨,"21727920",NA
55,NTW,PS067,Tuen Mun Fresh Water Pumping Station,屯門食水抽水站,"21 Milestone Castle Peak Road, Fu Tei, Tuen Mun",屯門虎地青山公路二十一咪,"24595442","24582907"
56,HK,PS068,Braemar Hill Fresh Water Pumping Station,寶馬山食水抽水站,"Braemar Hill Road near Wai Tsui Crescent, North Point",北角寶馬山道近慧翠道,"25086355",NA
57,NTE,PS070,Lower Shing Mun No.2 Raw Water Pumping Station,下城門二號原水抽水站,"Lower Shing Mun Road, Sha Tin",沙田下城門道,"26923298",NA
58,HK,PS071,So Kon Po Fresh Water Pumping Station,掃桿埔食水抽水站,"Behind Hong Kong Stadium, So Kon Po",掃桿埔香港大球場後面,"28955092",NA
59,NTE,PS072,Tai Po Tau No.3 Raw Water Pumping Station,大埔頭三號原水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,"26504500",NA
60,NTW,PS073,Tai Wo Tsuen Salt Water Pumping Station,大窩村海水抽水站,"Wah Yiu Road, Kwai Chung",葵涌華瑤路,"27418466",NA
61,NTW,PS074,Tsing Yi Salt Water Pumping Station,青衣海水抽水站,"Cheung Fai Road, Tsing Yi",青衣長輝路,"24970282",NA
62,NTW,PS075,Tuen Mun Salt Water Pumping Station,屯門海水抽水站,"Mei Lok Lane, Tuen Mun",屯門美樂里,"24046889",NA
63,HK,PS076,Eastern No.2 Fresh Water Pumping Station,東區二號食水抽水站,"37 Stubbs Road, Wan Chai",灣仔司徒拔道37號,"25722381",NA
64,NTE,PS077,Fanling Raw Water Pumping Station,粉嶺原水抽水站,"Fan Kam Road, Fanling",粉嶺粉錦公路,"26797912",NA
65,HK,PS078,Quarry Bay Salt Water Pumping Station,鰂魚涌海水抽水站,"Hoi Yu Street, Quarry Bay",鰂魚涌海裕街,"25627635",NA
66,HK,PS080,Wong Chuk Hang Fresh Water Pumping Station,黃竹坑食水抽水站,"Nam Fung Road, Aberdeen",香港仔南風道,"25524094",NA
67,NTE,PS081,Muk Wu No.2 Raw Water Pumping Station,木湖二號原水抽水站,"Man Kam To Road, Muk Wu",木湖文錦渡路,"26797911","26525669"
68,NTE,PS082,Sheung Shui Fresh Water Pumping Station,上水食水抽水站,"30 Fu Tei Au Road, Sheung Shui",上水虎地坳道30 號,"26797915","26706039"
69,NTW,PS084,Tsuen Wan Salt Water Pumping Station,荃灣海水抽水站,"Hoi Hing Road, Tsuen Wan",荃灣海興道,"24995148",NA
70,NTW,PS085,Yau Kom Tau Fresh Water Pumping Station,油柑頭食水抽水站,"9.75 Milestone Castle Peak Road, Yau Kom Tau, Tsuen Wan",荃灣油柑頭青山公路九點七五咪,"24164566",NA
71,NTW,PS086,Au Tau Raw Water and Fresh Water Pumping Station,凹頭原水及食水抽水站,"Au Tau opposite Ko Po Tsuen, Yuen Long",元朗凹頭對面高莆村,"24798414",NA
72,NTE,PS088,Harbour Island Raw Water Pumping Station,白沙頭洲原水抽水站,"Harbour Island, Tai Po",大埔白沙頭洲,"26642006",NA
73,NTW,PS089,Tsuen Wan West Ultra High Level Fresh Water Pumping Station,荃灣西超高地食水抽水站,"Route Twisk North 99, Route Twisk Villa, Tsuen Wan",荃灣荃錦公路北99號,"24135761",NA
74,HK,PS090,Chai Wan North No.2 Fresh Water Pumping Station,柴灣北二號食水抽水站,"Chai Wan Road opp. Chai Wan Fire Station, Chai Wan",柴灣柴灣道柴灣消防局對面,"25698039",NA
75,HK,PS091,Harcourt Road Fresh Water Pumping Station,夏慤道食水抽水站,"Fenwick Pier Street, Wan Chai",灣仔分域碼頭街,"28020046",NA
76,K,PS092,Ma Chai Hang Fresh Water Booster Pumping Station,馬仔坑食水增壓抽水站,"Lion Rock Park Ma Chai Hang, Chuk Yuen",竹園馬仔坑獅子山公園,"23371624",NA
77,NTE,PS093,Tai Mei Tuk No.2 Raw Water Pumping Station,大美督二號原水抽水站,"Bride's Pool Road, Tai Mei Tuk, Tai Po",大埔大美督新娘潭路,"26644511",NA
78,HK,PS094,Western Fresh Water and Salt Water Pumping Station,西區食水及海水抽水站,"76 Pok Fu Lam Road, Pok Fu Lam",薄扶林薄扶林道76號,"25465142",NA
79,NTE,PS095,Ha Wong Yi Au Fresh Water Pumping Station,下黃宜凹食水抽水站,"Ha Wong Yi Au Village, Tai Po Road, Tai Po",大埔大埔道下黃宜凹村,"26583814",NA
80,HK,PS096,Mount Parker Road Fresh Water Pumping Station,柏架山道食水抽水站,"Mount Parker Road, Quarry Bay",鰂魚涌柏架山道,"25634551",NA
81,NTE,PS097,Siu Lek Yuen Fresh Water Pumping Station,小瀝源食水抽水站,"Kwong Yuen Estate, Sha Tin",沙田廣源邨,"26496177",NA
82,K,PS098,Cha Kwo Ling Salt Water Pumping Station,茶果嶺海水抽水站,"Cha Kwo Ling Road, Cha Kwo Ling",茶果嶺茶果嶺道,"23496619",NA
83,HK,PS099,Cheung Sha Fresh Water Pumping Station,長沙食水抽水站,"Cheung Sha, Lantau Island",大嶼山長沙,NA,NA
84,NTE,PS100,Pak Kong Fresh Water Pumping Station,北港食水抽水站,"20 Pak Kong Road, Sai Kung",西貢北港路20號,"27925611",NA
85,HK,PS102,Sai Ying Pun Fresh Water Pumping Station,西營盤食水抽水站,"Junction of Water Street & Connaught Road West, Sai Ying Pun",西營盤水街及干諾道西交界,"25489043",NA
86,NTW,PS103,Tsing Yi North High Level Fresh Water and Salt Water Pumping Station,青衣北高地食水及海水抽水站,"Liu To Road, Tsing Yi",青衣寮肚路,"24340790",NA
87,HK,PS105,Ap Lei Chau Salt Water Pumping Station,鴨脷洲海水抽水站,"Lee Nam Road near Lee Lok Street, Ap Lei Chau",鴨脷洲利南道近利樂街,"25545626",NA
88,NTE,PS106,Hong Lok Yuen Fresh Water Booster Pumping Station,康樂園食水增壓抽水站,"Hong Lok Yuen, Tai Po",大埔康樂園,"26574052",NA
89,K,PS107,Ngau Chi Wan High Level Fresh Water Pumping Station,牛池灣高地食水抽水站,"Ngau Chi Wan Clear Water Bay Road, Choi Wan",牛池灣彩雲清水灣道,"27265963",NA
90,NTE,PS108,Shek Mun Fresh Water Booster Pumping Station,石門食水增壓抽水站,"On Ping Street, Sha Tin",沙田安平街,"26496090",NA
91,NTE,PS109,Tseung Kwan O High Level Fresh Water Pumping Station,將軍澳高地食水抽水站,"Tsui Lam Road, Tseung Kwan O",將軍澳翠琳路,"23465053",NA
92,K,PS110,King's Park Salt Water Pumping Station,京士柏海水抽水站,"King's Park Road, Ho Man Tin",何文田京士柏道,"22648361",NA
93,NTE,PS111,Tai Po East Fresh Water Pumping Station,大埔東食水抽水站,"Ting Kok Road, Tai Po",大埔汀角路,"26607179",NA
94,HK,PS112,Peng Chau Fresh Water Pumping Station,坪洲食水抽水站,"42 Tai Wo, Peng Chau",坪洲大窩42號,"29830240",NA
95,K,PS113,Piper's Hill Ultra High Level Fresh Water and Salt Water Pumping Station,琵琶山超高地食水及海水抽水站,"Caldecott Road, Cheung Sha Wan",長沙灣赫德傑道,"27295745",NA
96,HK,PS114,Sai Wan Ho Salt Water Pumping Station,西灣河海水抽水站,"Lei King Road, Sai Wan Ho, Shau Kei Wan",筲箕灣西灣河利景道,"25601584",NA
97,HK,PS115,Shau Kei Wan Fresh Water and Salt Water Pumping Station,筲箕灣食水及海水抽水站,"Yiu Hing Road, Shau Kei Wan",筲箕灣耀興道,"28857621",NA
98,NTW,PS116,So Kwun Tan Fresh Water Pumping Station,掃管灘食水抽水站,"So Kwun Wat Road, Tuen Mun",屯門掃管笏路,"24415742",NA
99,NTW,PS117,Au Tau No.2 Raw Water Pumping Station,凹頭二號原水抽水站,"Au Tau opposite Ko Po Tsuen, Yuen Long",元朗凹頭對面高莆村,"24424979",NA
100,K,PS118,Kowloon South No.2 Salt Water Pumping Station,九龍南二號海水抽水站,"New Reclamation Area, Yau Ma Tei",油麻地填海區,"27801097",NA
101,NTE,PS119,Muk Wu No.3 Raw Water Pumping Station,木湖三號原水抽水站,"Man Kam To Road, Muk Wu",木湖文錦渡路,"26795350",NA
102,NTE,PS120,Sha Tin Seafront Salt Water Pumping Station,沙田海傍海水抽水站,"Kiu Ha Road, Ma Liu Shui",馬料水橋下路,"26939717",NA
103,NTW,PS121,Sham Tseng Raw Water Pumping Station,深井原水抽水站,"Sham Tseng Tsuen, Sham Tseng, Tsuen Wan",荃灣深井深井新村,"24910013",NA
104,NTE,PS122,Tai Po Tau No.4 Raw Water Pumping Station,大埔頭四號原水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,"26532563",NA
105,NTE,PS123,Tseung Kwan O High Level No.2 Fresh Water Pumping Station,將軍澳高地二號食水抽水站,"Tsui Lam Road, Tseung Kwan O",將軍澳翠琳路,"23799557",NA
106,K,PS124,Cheung Sha Wan Salt Water Pumping Station,長沙灣海水抽水站,"Hoi Fan Road, Cheung Sha Wan",長沙灣海帆道,"27257837",NA
107,HK,PS125,Repulse Bay Fresh Water Pumping Station,淺水灣食水抽水站,"Belleview Drive, Repulse Bay",淺水灣麗景道,"28127250",NA
108,NTE,PS126,Sha Tin Salt Water Booster Pumping Station,沙田海水增壓抽水站,"Yuen Wo Road, Sha Tin",沙田源禾道,"26919176",NA
109,HK,PS127,Siu Sai Wan Salt Water Pumping Station,小西灣海水抽水站,"Siu Sai Wan Road, Chai Wan",柴灣小西灣道,"29659792",NA
110,HK,PS128,So Kon Po No.2 Fresh Water Pumping Station,掃桿埔二號食水抽水站,"Behind Hong Kong Stadium, So Kon Po",掃桿埔香港大球場後面,"28955092",NA
111,NTE,PS129,Sai O Raw Water Pumping Station,西澳原水抽水站,"Sai Sha Road, Sai O, Sai Kung",西貢西澳西沙路,"26413645",NA
112,NTE,PS130,Tai Po Salt Water Pumping Station,大埔海水抽水站,"17 Dai Kwai Street, Tai Po",大埔大貴街17號,"26639550",NA
113,NTE,PS131,Ma On Shan Fresh Water Pumping Station,馬鞍山食水抽水站,"Kwun Hang Village, Sai Sha Road, Ma On Shan",馬鞍山西沙路官坑村,"26402337",NA
114,HK,PS132,Siu Ho Wan Raw Water and Fresh Water Pumping Station,小蠔灣原水及食水抽水站,"640 Cheung Tung Road, Lantau Island",大嶼山翔東路640號,"29849116",NA
115,HK,PS134,Pui O No.2 Raw Water Pumping Station,貝澳二號原水抽水站,"2A Pui O Lo Wai Tsuen, Lantau Island",大嶼山貝澳老圍村2號A,"29842539",NA
116,NTE,PS135,Tseung Kwan O Salt Water Pumping Station,將軍澳海水抽水站,"Area 86, Tsueng Kwan O",將軍澳八十六區,"26239291",NA
117,NTE,PS136,Tseung Kwan O Salt Water Booster Pumping Station,將軍澳海水增壓抽水站,"Po Lam Road, Tseung Kwan O",將軍澳寶琳道,"22463413",NA
118,HK,PS140,Sai Wan No.2 Fresh Water Pumping Station,西灣二號食水抽水站,"Tai Tam Road, Tai Tam",大潭大潭道,"25561539",NA
119,NTW,PS141,A Kung Tin Fresh Water Pumping Station,亞公田食水抽水站,"Fan Kam Road, Pat Heung",元朗八鄉粉錦公路,"24831022",NA
120,HK,PS144,Pak Kok Tsui Fresh Water Pumping Station,北角咀食水抽水站,"Lot IS319, Pak Kok, Lamma Island.",南丫島北角地段319,"29826920",NA
121,NTW,PS145,Sheung Tsuen Fresh Water Pumping Station,上村食水抽水站,"Kam Sheung Road, Kam Tin",錦田錦上路,"24831072",NA
122,HK,PS146,Albany No.3 Fresh Water Pumping Station,雅賓利三號食水抽水站,"Magazine Gap Road, Mid-levels (near Brewin Path Temporary Playground)",半山區馬己仙峽道(鄰近蒲魯賢徑臨時遊樂場),"29736212",NA
123,NTE,PS147,Tai Po Kau Fresh Water Pumping Station,大埔滘食水抽水站,Tai Po Road-Tai Po Kau,大埔公路-大埔滘段,"26535974",NA
124,NTE,PS148,Tai Po Fresh Water Pumping Station,大埔食水抽水站,"2800 Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段2800號,"26534719","26532500"
125,NTW,PS149,Tan Kwai Tsuen Fresh Water Pumping Station,丹桂村食水抽水站,"Tan Kwai Tsuen, Yuen Long",元朗丹桂村,"29447677",NA
126,NTW,PS150,Ngau Tam Mei Raw Water Pumping Station,牛潭尾原水抽水站,"Chuk Yau Road, Ngau Tam Mei, Yuen Long",元朗牛潭尾竹攸路,"24828300",NA
127,NTW,PS151,Ngau Tam Mei Fresh Water Pumping Station,牛潭尾食水抽水站,"Chuk Yau Road, Ngau Tam Mei, Yuen Long",元朗牛潭尾竹攸路,"24828300",NA
128,NTE,PS152,Tsui Lam Fresh Water Pumping Station,翠林食水抽水站,Adjacent to Tseung Kwan O Primary Fresh Water Service Reservoir,將軍澳主食水配水庫側,NA,NA
129,HK,PS153,Sheung Wan Salt Water Pumping Station,上環海水抽水站,"1 Chung Kong Road, Sheung Wan",上環中港道1號,"25177156",NA
130,NTW,PS154,Tai Lam Chung Raw Water Pumping Station,大欖涌原水抽水站,"16 1/2 Milestone Castle Peak Road, Tai Lam Chung",大欖涌青山公路十六咪半,"24416411",NA
131,NTE,PS155,To Shek Fresh Water Pumping Station,多石食水抽水站,"To Shek, Sha Tin",沙田多石,NA,NA
132,HK,PS156,Telegraph Bay Salt Water Pumping Station,鋼綫灣海水抽水站,Pok Fu Lam,薄扶林,NA,NA
133,HK,PS157,Bowen Drive Salt Water Pumping Station,寶雲徑海水抽水站,NA,NA,NA,NA
134,HK,PS158,Wan Chai No.2 Salt Water Pumping Station,灣仔二號海水抽水站,"Wan Shing Street, Wan Chai",灣仔運盛街,"22504370",NA
135,NTE,PS159,Kau To Fresh Water Pumping Station,九肚食水抽水站,"Ma Liu Shui Section, Tai Po Road",大埔公路馬料水段,NA,NA
136,K,PS160,Shum Wan Shan Salt Water Pumping Station,沈雲山海水抽水站,Jordan Valley,佐敦谷,"27562506",NA
137,HK,PS161,Sunny Bay Salt Water Pumping Station,欣澳海水抽水站,"Ta Pang Po, Lantau Island",大嶼山打棚埔,NA,NA
138,NTW,PS162,Lok On Pai Salt Water Pumping Station,樂安排海水抽水站,"Tsing Fat Street, Lok On Pai, Tuen Mun",屯門樂安排青發街,NA,NA
139,NTE,PS163,Sha Tin Seafront No.2 Salt Water Pumping Station,沙田海傍二號海水抽水站,"Kiu Ha Road, Ma Liu Shui",馬料水橋下路,NA,NA
140,K,PS164,Shum Wan Shan Fresh Water Pumping Station,沈雲山食水抽水站,"Jordan Valley, Ngau Tau Kok",牛頭角佐敦谷,"27590676",NA
141,HK,PS165,Wah Fu Salt Water Pumping Station,華富海水抽水站,Wah Fu,華富,NA,NA
142,HK,PS166,Kotewall Road Fresh Water Pumping Station,旭龢道食水抽水站,"Kotewall Road, Central Mid-Level",中區半山旭龢道,"25590316",NA
143,HK,PS167,Peak No.2 Fresh Water Pumping Station,山頂二號食水抽水站,"Mount Austin Road, The Peak",山頂柯士甸山道,NA,NA
144,HK,SR238,Ngong Ping Fresh Water Service Reservoir,昂坪食水配水庫,NA,NA,NA,NA
145,K,TW004,Tai Po Road Water Treatment Works,大埔道濾水廠,"4 1/2 Milestone Tai Po Road, Sham Shui Po",深水埗大埔道四咪半,"23866915","23078539"
146,NTW,TW005,Tsuen Wan Water Treatment Works,荃灣濾水廠,"Shing Mun Road, Tsuen Wan",荃灣城門道,"24905032","24024560"
147,HK,TW009,Silver Mine Bay Water Treatment Works,銀鑛灣濾水廠,"1 Wan Tsai, Lantau Island",大嶼山灣仔1 號,"29806108","29842406"
148,HK,TW011,Tai O Water Treatment Works,大澳濾水廠,"Leung Uk, Lantau Island",大嶼山梁屋,"29855574",NA
149,NTE,TW013,Sha Tin Water Treatment Works,沙田濾水廠,"12 Keng Hau Road, Sha Tin",沙田徑口路12號,"26911538","26072340"
150,HK,TW015,Red Hill Water Treatment Works,紅山濾水廠,"Red Hill Road, Red Hill, Tai Tam",大潭紅山紅山道,"28139327","28139210"
151,NTW,TW016,Tuen Mun Water Treatment Works,屯門濾水廠,"21 Milestone Castle Peak Road, Fu Tei, Tuen Mun",屯門虎地青山公路二十一咪,"24598328","24799448"
152,NTE,TW017,Sheung Shui Water Treatment Works,上水濾水廠,"30 Fu Tei Au Road, Sheung Shui",上水虎地坳道30號,"26797915","26706039"
153,NTW,TW018,Yau Kom Tau Water Treatment Works,油柑頭濾水廠,"9.75 Milestone Castle Peak Road, Yau Kom Tau, Tsuen Wan",荃灣油柑頭青山公路九點七五咪,"24164566","24152201"
154,HK,TW019,Cheung Sha Water Treatment Works,長沙濾水廠,"Cheung Sha, Lantau Island",大嶼山長沙,"29803100",NA
155,NTE,TW020,Pak Kong Water Treatment Works,北港濾水廠,"20 Pak Kong Road, Sai Kung",西貢北港路20號,"27925611","27927943"
156,NTW,TW021,Au Tau Water Treatment Works,凹頭濾水廠,"Ko Po, Kam Tin Road, Au Tau, Yuen Long",元朗凹頭錦田公路高莆,"24756233","24799448"
157,NTW,TW022,Tai Lam Chung No.2 Chlorination Station,大欖涌二號加氯站,"Castle Peak Road, Tai Lam Chung",大欖涌青山公路,"24583566","24574041"
158,NTW,TW023,Sham Tseng Water Treatment Works,深井濾水廠,"Lung Yue Road, Tsing Lung Tau, Sham Tseng",深井青龍頭龍裕道,"24915897","24918655"
159,NTE,TW024,Ma On Shan Water Treatment Works,馬鞍山濾水廠,"Kwun Hang Village, Sai Sha Road, Ma On Shan",馬鞍山西沙路官坑村,"26402337","26410270"
160,HK,TW025,Siu Ho Wan Water Treatment Works,小蠔灣濾水廠,"640 Cheung Tung Road, Tung Chung, Lantau Island",大嶼山東涌翔東路640號,"29849116","29847256"
161,NTE,TW026,Tai Po Water Treatment Works,大埔濾水廠,"Tai Po Road, Tai Wo Section, Tai Po",大埔大埔道太和段,"26534719","26532500"
162,NTW,TW027,Ngau Tam Mei Water Treatment Works,牛潭尾濾水廠,"Chuk Yau Road, Ngau Tam Mei, Yuen Long",元朗牛潭尾竹攸路,"24828300","24829404"
163,NTW,TW029,Tuen Mun Intermediate Booster Chlorination Station,屯門中途補充加氯站,"21 Milestone Castle Peak Road, Fu Tei, Tuen Mun",屯門虎地青山公路二十一咪,NA,NA
164,NTW,PH001,Ha Kwai Chung Fresh Water Pump House,下葵涌食水泵房,"Lei Pui Street, Ha Kwai Chung",下葵涌梨貝街,"24211411",NA
165,NTW,PH003,Shek Lei Hang Fresh Water Pump House,石籬坑食水泵房,"Shek Pai Street, Kwai Chung",葵涌石排街,"24212517",NA
166,NTW,PH005,Sheung Yat Chuen Fresh Water Pump House,上一村食水泵房,"Shing Mun Ha Chuen, Lei Muk Shue, Kwai Chung",荃灣梨木樹城門下村,"24947121",NA
